country,baseline,increase,decrease,avgconf,lossperc,chngperc,harvest,harvlossperc,incconf,decconf,harvconf
Oman,0,0,0,100.000,-100.0,-100.0,0,nan,nan,100.000,nan
Panama,384634,40553,-224428,94.762,-58.3,-47.8,-29375829,-20.3,86.140,96.320,27.706
Peru,3297382,2784251,-1746405,92.615,-53.0,31.5,-193556603,-13.8,90.639,95.764,12.724
Philippines,1471048,104253,-1009926,97.584,-68.7,-61.6,-3659152,-5.4,85.249,98.857,5.381
Papua New Guinea,4713564,278522,-2162547,96.368,-45.9,-40.0,-33074385,-10.6,85.305,97.793,20.150
Puerto Rico,150857,0,-124692,101.636,-82.7,-82.7,-62940342,-36.7,nan,101.636,46.395
Paraguay,0,0,0,100.000,-100.0,-100.0,-2,-0.0,nan,100.000,0.000
Rwanda,870139,110162,-580954,89.084,-66.8,-54.1,-32725021,-9.2,91.991,88.533,15.872
Saudi Arabia,813254,1126,-778853,99.030,-95.8,-95.6,0,nan,92.770,99.039,nan
South Sudan,142106,5689,-112004,93.321,-78.8,-74.8,0,nan,78.293,94.084,nan
Solomon Islands,45500,6006,-45464,101.655,-99.9,-86.7,0,nan,88.235,103.428,nan
Sierra Leone,0,0,0,100.278,-100.0,-100.0,-29552,-0.0,nan,100.278,0.050
El Salvador,89400,11899,-60542,90.186,-67.7,-54.4,-336775144,-33.9,79.649,92.257,34.114
Somaliland,542582,11131,-540533,99.917,-99.6,-97.6,0,nan,47.558,100.996,nan
Somalia,95715,4192,-95715,95.796,-100.0,-95.6,0,nan,0.000,99.992,nan
São Tomé and Principe,23219,0,-16693,100.000,-71.9,-71.9,0,nan,nan,100.000,nan
Swaziland,95813,8141,-80438,78.660,-84.0,-75.5,0,nan,47.563,81.807,nan
Thailand,239895,0,-239890,100.253,-100.0,-100.0,-7601,-0.3,48.529,100.253,0.264
Timor-Leste,204294,15466,-163624,99.853,-80.1,-72.5,-28164893,-12.1,100.000,99.839,14.409
Taiwan,18096,45791,-18096,85.528,-100.0,153.0,0,nan,79.807,100.006,nan
Tanzania,10254620,1768496,-8586347,96.692,-83.7,-66.5,-142761432,-21.8,82.712,99.571,21.417
Uganda,5074034,68432,-4830939,99.695,-95.2,-93.9,-566666282,-60.2,75.117,100.043,58.849
United States,463542,21137,-405753,98.967,-87.5,-83.0,-8840229,-85.7,71.665,100.389,85.696
Venezuela,5301618,262843,-3778788,96.814,-71.3,-66.3,-27970446,-3.7,73.938,98.405,5.459
Vietnam,1488516,74616,-1272729,98.442,-85.5,-80.5,-17959820,-1.9,95.559,98.611,1.865
Vanuatu,14725,0,-14608,90.772,-99.2,-99.2,0,nan,49.870,90.772,nan
Yemen,2988863,16488,-2166101,98.633,-72.5,-71.9,-56681781,-27.4,89.640,98.702,30.294
South Africa,2670584,770739,-2282693,98.857,-85.5,-56.6,0,nan,88.690,102.290,nan
Zambia,4464733,13902,-4249238,95.683,-95.2,-94.9,-18887503,-34.4,1.571,95.991,33.269
Zimbabwe,404205,6145,-395711,99.821,-97.9,-96.4,-13750608,-31.4,49.395,100.604,25.280
World,187626281.0,27247080.0,-132070290.0,96.284,-70.4,-55.9,inf,-23.0,inf,117.672,0.247
