country,baseline,increase,decrease,avgconf,lossperc,chngperc,harvest,unaccharv,harvloss,harvlossperc,incconf,decconf,harvconf,unharvbase
Uganda,49908,309447,-12419,89.015,-24.9,595.2,156228,44684,-44519,-28.5,89.264,82.798,68.445,21888
United States,34958,325085,-22297,68.925,-63.8,866.1,335,871,-80,-23.8,67.234,93.582,29.602,34624
Saint Vincent and the Grenadines,53,2,0,35.943,0.0,3.2,0,0,0,nan,35.943,nan,nan,53
Venezuela,100706,57690,-63479,80.468,-63.0,-5.7,52417,39912,-36677,-70.0,63.395,95.984,77.965,88726
United States Virgin Islands,31,0,-31,95.908,-100.0,-100.0,0,0,0,nan,nan,95.908,nan,31
Vietnam,62325,1345521,-25060,77.684,-40.2,2118.7,301687,139941,-66525,-22.1,77.585,83.014,37.315,33929
Vanuatu,2877,92,-1283,91.595,-44.6,-41.4,0,0,0,nan,58.160,93.981,nan,2877
Samoa,148,0,-73,96.692,-49.6,-49.6,0,0,0,nan,nan,96.692,nan,148
Yemen,51986,743397,-29130,91.154,-56.0,1374.0,7817,1888,-817,-10.5,91.063,93.485,20.147,47269
South Africa,72336,907855,-32689,74.479,-45.2,1209.9,0,0,0,nan,73.788,93.664,nan,72336
Zambia,35641,618365,-17247,87.402,-48.4,1686.6,161,330,-83,-51.7,87.178,95.407,66.990,35480
Zimbabwe,27143,129786,-19935,84.142,-73.4,404.7,1,1,-1,-58.8,82.335,95.902,69.830,27142
World,6718092.0,320334729.0,-2933021.0,85.745,-43.7,4724.6,2708631.8090713127,1658708.1883492763,-784779.73003920482,-29.0,84.152,87.236,-1.621,6145273.9477018993
