biovar,baseline,median,gcm1,gcm2,gcm3,gcm4,gcm5,gcm6,gcm7,gcm8,gcm9,gcm10,gcm11,gcm12,gcm13,gcm14,gcm15,gcm16,gcm17
bio1,17.5,19.699999999999999,19.600000000000001,19.300000000000001,19.199999999999999,19.800000000000001,20.199999999999999,19.699999999999999,19.800000000000001,20.100000000000001,19.600000000000001,18.800000000000001,20.600000000000001,18.699999999999999,20.199999999999999,19.5,20.300000000000001,20.0,19.300000000000001
bio2,9.4,9.3000000000000007,9.0,9.3000000000000007,9.0999999999999996,10.0,9.3000000000000007,9.4000000000000004,9.5999999999999996,9.3000000000000007,9.9000000000000004,9.1999999999999993,9.5,7.7000000000000002,9.6999999999999993,9.5999999999999996,9.3000000000000007,9.4000000000000004,8.5
bio4,218,274.0,268,416,248,292,289,274,267,286,233,371,270,550,359,272,264,259,388
bio5,22.8,25.199999999999999,24.800000000000001,25.399999999999999,24.300000000000001,25.5,25.600000000000001,24.899999999999999,25.199999999999999,25.300000000000001,25.199999999999999,24.0,26.5,24.5,26.100000000000001,24.800000000000001,25.399999999999999,25.199999999999999,25.0
bio6,12.7,14.6,14.699999999999999,14.300000000000001,14.300000000000001,14.6,15.199999999999999,14.6,14.6,15.0,14.4,13.5,15.4,14.5,15.0,14.4,15.199999999999999,15.0,14.699999999999999
bio12,1673,1725.0,1918,1725,1664,1387,1749,1744,1850,1740,1509,1544,1707,1633,1814,2179,1692,1680,1763
bio13,242,246.0,255,245,236,206,254,251,252,243,232,229,253,210,255,275,268,246,221
bio14,57,64.0,72,53,65,48,64,67,77,64,52,55,48,50,70,93,70,59,54
