Map statistics	m0f8465d2720a6b440c42acd34c2172fc66e796e2

#	Country Name	Total Area		Map Statistics						
1000 ha	%	Min.	Max.	Range	Mean	
111	Benin	0	0	∞	-∞	0	0	
112	Cote d'Ivoire	60	0	80.8	88.8	8	84	
113	Ghana	0	0	∞	-∞	0	0	
114	Guinea-Bissau	0	0	∞	-∞	0	0	
115	Guinea	687	0	76	100	24	90	
116	Liberia	0	0	∞	-∞	0	0	
117	Nigeria	512	0	75.8	100	24.2	98	
118	Sierra Leone	17	0	81.4	100	18.6	91	
119	Togo	0	0	∞	-∞	0	0	
120	Algeria	0	0	∞	-∞	0	0	
121	Libyan Arab Jamahiriya	0	0	∞	-∞	0	0	
122	Morocco	0	0	∞	-∞	0	0	
123	Tunisia	0	0	∞	-∞	0	0	
124	Egypt	0	0	∞	-∞	0	0	
125	Armenia	0	0	∞	-∞	0	0	
126	Azerbaijan	0	0	∞	-∞	0	0	
127	Cyprus	0	0	∞	-∞	0	0	
128	Georgia	0	0	∞	-∞	0	0	
129	Iran, Islamic Rep.	0	0	∞	-∞	0	0	
130	Iraq	0	0	∞	-∞	0	0	
131	Israel	0	0	∞	-∞	0	0	
132	Jordan	0	0	∞	-∞	0	0	
133	Kuwait	0	0	∞	-∞	0	0	
134	Lebanon	0	0	∞	-∞	0	0	
135	Oman	24	0	44	100	56	81	
136	Qatar	0	0	∞	-∞	0	0	
137	Saudi Arabia	881	0	79.5	100	20.5	98	
138	Syrian Arab Republic	0	0	∞	-∞	0	0	
139	Turkey	0	0	∞	-∞	0	0	
140	United Arab Emirates	0	0	∞	-∞	0	0	
141	Yemen	3573	0.1	54.8	100	45.2	98	
142	Cambodia	219	0	75.1	100	24.9	88	
143	Indonesia	21313	0.6	50.6	100	49.4	73	
144	Lao PDR	4824	0.1	81.9	100	18.1	99	
145	Malaysia	2549	0.1	50.7	78.7	28	62	
146	Myanmar	11460	0.3	45.5	100	54.5	98	
147	Papua New Guinea	10934	0.3	50.8	100	49.2	71	
148	Philippines	3201	0.1	50.8	100	49.2	84	
149	Thailand	867	0	79.7	100	20.3	99	
150	Timor-Leste	272	0	75.1	100	24.9	92	
151	Viet Nam	2907	0.1	68	100	32	95	
152	Bangladesh	0	0	∞	-∞	0	0	
153	Bhutan	0	0	∞	-∞	0	0	
154	India	5643	0.1	44	100	56	97	
155	Nepal	0	0	∞	-∞	0	0	
156	Pakistan	0	0	∞	-∞	0	0	
157	Sri Lanka	410	0	69.7	100	30.3	84	
158	China	15504	0.4	44	100	56	91	
159	Korea DPR	0	0	∞	-∞	0	0	
160	Japan	0	0	∞	-∞	0	0	
161	Mongolia	0	0	∞	-∞	0	0	
162	Korea Rep.	0	0	∞	-∞	0	0	
163	Afghanistan	0	0	∞	-∞	0	0	
164	Kazakhstan	0	0	∞	-∞	0	0	
165	Kyrgyzstan	0	0	∞	-∞	0	0	
166	Tajikistan	0	0	∞	-∞	0	0	
167	Turkmenistan	0	0	∞	-∞	0	0	
168	Uzbekistan	0	0	∞	-∞	0	0	
169	Antarctica	0	0	∞	-∞	0	0	
170	Northern America	1600	0	60.1	100	39.9	84	
171	Eastern Europe and Northern Asia	0	0	∞	-∞	0	0	
172	Northern Europe	0	0	∞	-∞	0	0	
173	Southern Europe	0	0	∞	-∞	0	0	
174	Western Europe	0	0	∞	-∞	0	0	
175	Caribbean	2343	0.1	75	100	25	93	
176	Central America	62468	1.6	44	100	56	94	
177	South America	169096	4.4	44	100	56	93	
178	Australia and New Zealand	615	0	99.1	100	0.9	100	
179	Pacific Islands	1204	0	51.8	100	48.2	81	
180	Eastern Africa	170830	4.5	62.7	100	37.3	95	
181	Central Africa	147823	3.9	52.3	100	47.7	93	
182	Southern Africa	115246	3	44	100	56	98	
183	Sudano-Sahelian Africa	4601	0.1	75.5	100	24.5	99	
184	Gulf of Guinea	1276	0	75.8	100	24.2	93	
185	Northern Africa	0	0	∞	-∞	0	0	
186	Western Asia	4478	0.1	44	100	56	98	
187	South-eastern Asia	58545	1.5	45.5	100	54.5	82	
188	Southern Asia	6076	0.2	44	100	56	96	
189	Eastern Asia	15504	0.4	44	100	56	91	
190	Central Asia	0	0	∞	-∞	0	0	
191	Antarctica	0	0	∞	-∞	0	0	
192	Northern America	1600	0	60.1	100	39.9	84	
193	Europe and Northern Asia	0	0	∞	-∞	0	0	
194	Central America and Caribbean	64811	1.7	44	100	56	94	
195	South America	169096	4.4	44	100	56	93	
196	Oceania	1820	0	51.8	100	48.2	88	
197	Sub-Saharan Africa	439777	11.5	44	100	56	96	
198	Northern Africa and West Asia	4478	0.1	44	100	56	98	
199	Southern and Eastern Asia	80125	2.1	44	100	56	85	
200	Antarctica	0	0	∞	-∞	0	0	
201	Low income	270026	7.1	45.5	100	54.5	95	
202	Lower middle income	217818	5.7	44	100	56	93	
203	Upper middle income	269331	7.1	44	100	56	93	
204	High income	4530	0.1	44	100	56	88	
205	Undefined	0	0	∞	-∞	0	0	
206	World	761705	20	44	100	56	94	
