"region","variety","year","produced","yield","PID","frosts","gdd1000","kdd1000","avgmin","precip"
"Cambodia","combined",1980,50,0.294117647058824,116,0,9.12722164057384,0.0295825291924388,20.0932950579233,0.0410843802742903
"Cambodia","combined",1981,70,0.388888888888889,116,0,9.21520424945012,0.0531772172900707,20.4304324717135,0.047810582813681
"Cambodia","combined",1982,68,0.425,116,0,9.11798360342113,0.0529410928198064,20.1265836841212,0.0431071665063109
"Cambodia","combined",1983,70,0.411764705882353,116,0,9.19354452294891,0.0424016605885559,19.8115235183103,0.0432164386084044
"Cambodia","combined",1984,80,0.444444444444444,116,0,9.28088163059498,0.0818534128686699,20.2899739847008,0.0390811741266506
"Cambodia","combined",1985,90,0.489130434782609,116,0,9.08327748994467,0.0497437364807222,19.9159444596638,0.04098902066255
"Cambodia","combined",1986,100,0.537634408602151,116,0,9.16556854112907,0.039213661136185,20.0273213841259,0.047528280905624
"Cambodia","combined",1987,120,0.6,116,0,9.04361808640733,0.0671540175877499,19.9483313649526,0.0415581273872437
"Cambodia","combined",1988,130,0.634146341463415,116,0,9.35670300057545,0.0765346109058577,20.0358012284158,0.038616088726141
"Cambodia","combined",1989,140,0.666666666666667,116,0,9.47460057396007,0.095923601022734,20.520932828329,0.0357605412890937
"Cambodia","combined",1990,150,0.714285714285714,116,0,9.26039954026997,0.0382678942840297,20.0969724488068,0.0450154519966065
"Cambodia","combined",1991,160,0.723981900452489,116,0,9.21011975826138,0.0575938738598238,20.5198211253307,0.0561270461258498
"Cambodia","combined",1992,170,0.790697674418605,116,0,9.14986617747878,0.0528878528451401,20.09550457287,0.0382102421156911
"Cambodia","combined",1993,180,0.818181818181818,116,0,9.12313211183158,0.0609341985045913,19.8871896027368,0.040955597746446
"Cambodia","combined",1994,181,0.724,116,0,9.08867837332678,0.0462208464590594,19.8683027278463,0.0396720831578901
"Cambodia","combined",1995,190,0.745098039215686,116,0,9.12171563154769,0.0398481063036228,20.1897180809492,0.0372679954702206
"Cambodia","combined",1996,200,0.784313725490196,116,0,9.10401434332442,0.0573099289615913,19.8683314430089,0.0302418066572274
"Cambodia","combined",1997,250,0.833333333333333,116,0,9.0741619412567,0.0409653563908332,20.0355337713229,0.0362867958612993
"Cambodia","combined",1998,280,0.8,116,0,9.10296485842023,0.0321638562051279,19.8282140371974,0.0334160111045928
"Cambodia","combined",1999,290,0.805555555555556,116,0,9.51662245131692,0.0927852396443107,20.6830643356195,0.0292445105845129
"Cambodia","combined",2000,300,0.821917808219178,116,0,9.0580057656327,0.0239713814055977,20.3330291442589,0.0408367214938551
"Cambodia","combined",2001,300,0.821917808219178,116,0,9.17176924495602,0.0322757674723824,20.4583812980697,0.0422070945378024
"Cambodia","combined",2002,300,0.821917808219178,116,0,9.3039385527914,0.0565810023238983,20.4800192672216,0.0353766253245077
"Cambodia","combined",2003,290,0.783783783783784,116,0,9.53054696925437,0.0874132841491257,20.6212270422029,0.0294990799790151
"Cambodia","combined",2004,303,0.765151515151515,116,0,9.56240582562879,0.104764512254737,20.5784157819629,0.0289047671112259
"Cambodia","combined",2005,310,0.815789473684211,116,0,9.60267640403075,0.114177026800635,20.4064286203038,0.0272575549205989
"Cambodia","combined",2006,295,0.7375,116,0,9.49662069720469,0.108110873803516,20.6640766788616,0.0348899172705852
"Cambodia","combined",2007,300,0.75,116,0,9.61007687403685,0.101234045370086,20.8199478094625,0.0320825963083714
"Cambodia","combined",2008,320,0.780487804878049,116,0,9.45542306816004,0.0933977448873951,20.6898850461978,0.0365657797556578
"Cambodia","combined",2009,330,0.804878048780488,116,0,9.38896925352281,0.0547315509451791,20.5558076289907,0.0340181524167806
"Cambodia","combined",2010,350,0.833333333333333,116,0,9.41297409585921,0.0481741981413211,20.6222277752417,0.0426168620393765
"Ethiopia","arabica",1994,212101.910828026,0.848407643312102,69,0,7.17290701377188,0,12.5759411375964,0.0138768951894313
"Ethiopia","arabica",1995,223465.909090909,1.0096275288179,69,0,7.27503011336976,2.82407728004932e-05,12.5505997402574,0.0129273816992865
"Ethiopia","arabica",1996,228393.267823542,0.988634128896505,69,0,7.35540166262984,0,12.9712510596295,0.0122017966812238
"Ethiopia","arabica",1997,228393.267823542,0.940857951899245,69,0,7.16115547425188,0,12.9662512389803,0.0154638465111614
"Ethiopia","arabica",1998,229581.253612147,0.949577509439254,69,0,7.31968753411231,0,13.1458941612629,0.0167198681426168
"Ethiopia","arabica",1999,231609.109849471,0.951280069698122,69,0,7.37948652742396,4.89565620243848e-06,13.436362558097,0.0156287848081845
"Ethiopia","arabica",2000,215981.367779719,0.859422099318449,69,0,7.33187964567118,0,12.6413479149432,0.0139450894330627
"Ethiopia","arabica",2001,175852.110497238,0.70340844198895,69,0,7.56540781009979,5.13829746991005e-05,12.863222415406,0.014009998908171
"Ethiopia","arabica",2002,167280.455698355,0.686042371852797,69,0,7.59326108979333,2.91488811465124e-06,13.1482682285714,0.0131619318811607
"Ethiopia","arabica",2003,185821.059803973,0.852390182587032,69,0,7.79202175257775,0.000108192842454277,13.4653856944114,0.0110465789351636
"Ethiopia","arabica",2004,138889.620029767,0.597531481505975,69,0,7.75033139731228,0.00093843817336665,13.4325694007205,0.0122916294070428
"Ethiopia","arabica",2005,168292.760200973,0.646779836361017,69,0,7.72788632586057,0.000465649495533693,13.4008974249812,0.0136604679225459
"Ethiopia","arabica",2006,185119.935508149,0.708796536836026,69,0,7.5848067304805,0.0021676673224007,13.2448555762358,0.0146403935073842
"Ethiopia","arabica",2007,251285.135714494,0.851127347138559,69,0,7.56517493782821,0.000166524304706499,13.4924286250886,0.0150557036568925
"Ethiopia","arabica",2008,278335.821908511,0.683624887101,69,0,7.54677193282081,0.00024339411029378,13.2916079640815,0.0152706041278205
"Ethiopia","arabica",2009,271727.47286961,0.694429467384308,69,0,7.49918383115849,0.000281726039458932,12.9760503945624,0.0148000188082283
"Ethiopia","arabica",2010,280183.45686729,0.709319820019822,69,0,7.58241536868355,2.69115996959179e-05,13.4484179741845,0.0127551361868527
"Cameroon","combined",1980,NA,0.281469612414826,44,0,8.38860374157575,3.30253814697747e-05,18.0937109120877,0.0377727990174998
"Cameroon","combined",1980,NA,0.293896518159156,44,0,8.55850782583853,0.00410019135330347,18.1073261975826,0.0328678852677207
"Cameroon","combined",1981,NA,0.30108989048649,44,0,8.52002901340214,0.00410019135330347,18.0677365650013,0.0323850163117086
"Cameroon","combined",1981,NA,0.299962834613754,44,0,8.41777983624705,0.00350332987234893,18.0040709576118,0.0347351893990143
"Cameroon","combined",1982,NA,0.299642069557659,44,0,8.41139475864859,0.00350332987234893,17.8899361207367,0.0337206697113188
"Cameroon","combined",1982,NA,0.332035811591772,44,0,8.38657711814623,0.000575383826694999,18.0098223835898,0.0378481776785358
"Cameroon","combined",1983,NA,0.331225440077774,44,0,8.30670611750623,0.000575383826694999,17.8629372782729,0.0384700429676295
"Cameroon","combined",1983,NA,0.208034035671173,44,0,8.46872640546654,0.0219847280457563,17.4681059081674,0.0281035471863074
"Cameroon","combined",1984,NA,0.188242743526924,44,0,8.47853910518147,0.0219847280457563,17.5239523010079,0.0255776914551483
"Cameroon","combined",1984,NA,0.3241673564402,44,0,8.48090791728873,0.00449873367235839,17.5329913157878,0.0321471062156575
"Cameroon","combined",1985,NA,0.408973942172047,44,0,8.52612632239886,0.00451650533546417,17.4304911483061,0.0317661880984657
"Cameroon","combined",1985,NA,0.310692397633048,44,0,8.39372188451935,0.00722042501054939,17.3158694108061,0.0335221603022713
"Cameroon","combined",1986,NA,0.305087501315489,44,0,8.35006562927476,0.00720265334744362,17.3790577793673,0.0339001980180638
"Cameroon","combined",1986,NA,0.372351593440378,44,0,8.46986849597884,0.00292450259774171,17.7302775207532,0.0294462534578351
"Cameroon","combined",1987,NA,0.376836602907046,44,0,8.4140727530338,0.00292450259774171,17.5775296697488,0.0292363692099844
"Cameroon","combined",1987,NA,0.278741106656256,44,0,8.48457679254374,0.000296667350031913,17.9634920012286,0.0340341818706475
"Cameroon","combined",1988,NA,0.252944108387333,44,0,8.52932391055766,0.00029706775035913,18.1069890201987,0.0344083578552286
"Cameroon","combined",1988,NA,0.344462462152195,44,0,8.58541814869813,0.00478683591291331,18.3174639643054,0.0316182592095021
"Cameroon","combined",1989,NA,0.375357052197709,44,0,8.5623892852498,0.00478643551258609,18.3531011927748,0.033543282719068
"Cameroon","combined",1989,NA,0.378427705707552,44,0,8.40883668359445,0.00634733667293438,17.4806877043184,0.0351382110800395
"Cameroon","combined",1990,NA,0.361169178802612,44,0,8.42123560080005,0.00634733667293438,17.3754628305618,0.0332103257470466
"Cameroon","combined",1990,NA,0.466151630033005,44,0,8.65586325998221,0.00900368059516129,18.0013616129028,0.0315979667841338
"Cameroon","combined",1991,NA,0.466879511357579,44,0,8.63324506229204,0.00900368059516129,18.1660425737416,0.0321491983934028
"Cameroon","combined",1991,NA,0.372764342919361,44,0,8.61613030980747,0.00254084012784971,18.419690930049,0.0311413165478098
"Cameroon","combined",1992,NA,0.396903308046257,44,0,8.59305046942322,0.00254084012784971,18.0692165366989,0.0276902600615788
"Cameroon","combined",1992,NA,0.289999213926782,44,0,8.50218382070096,0.0121504731064753,17.612541770424,0.0289101950139831
"Cameroon","combined",1993,NA,0.245015389626419,44,0,8.44366792452385,0.0121612990026787,17.511414046981,0.0312956283817322
"Cameroon","combined",1993,NA,0.236274137340018,44,0,8.46868324736807,0.00173085729129765,17.7046166424206,0.0312308893563231
"Cameroon","combined",1994,NA,0.223375722303158,44,0,8.51643258785443,0.00173085729129765,17.9021932430057,0.0296354156074417
"Cameroon","combined",1994,NA,0.254195085798456,44,0,8.61443131449814,0.00874310186627938,18.1746144863965,0.0295803248039613
"Cameroon","combined",1995,NA,0.209206920872492,44,0,8.55487372253794,0.00879000741870717,17.8534114367517,0.0288800888653536
"Cameroon","combined",1995,NA,0.193505253317274,44,0,8.61596453575719,0.00552846542782946,17.9636494746727,0.0273762760139718
"Cameroon","combined",1996,NA,0.233130548831917,44,0,8.61130555154553,0.00548155987540167,18.0976898465866,0.0288783482397134
"Cameroon","combined",1996,NA,0.291382482046133,44,0,8.47748746540146,0.000946270177878583,18.0445929305297,0.0310649814051466
"Cameroon","combined",1997,NA,0.369958042834931,44,0,8.46725052129726,0.000946270177878583,17.8975262616157,0.0294831963965971
"Cameroon","combined",1997,NA,0.223618634820444,44,0,8.4717003625656,0.00817319155558843,17.6596920062419,0.0288019808330752
"Cameroon","combined",1998,NA,0.2041457576518,44,0,8.49496844158896,0.00817319155558843,17.8950098235369,0.0302582326097784
"Cameroon","combined",1998,NA,0.375655841501422,44,0,8.82722807042335,0.0254256384060697,18.5028777615976,0.0282324453247773
"Cameroon","combined",1999,NA,0.403823209968852,44,0,8.81552708205843,0.0254256384060697,18.4292136435539,0.0270572674983582
"Cameroon","combined",1999,NA,0.357388788805002,44,0,8.75566988093296,0.00621804173409957,18.4175302009467,0.0317906460905975
"Cameroon","combined",2000,NA,0.376246888191485,44,0,8.69847226216893,0.00621804173409957,18.2190593789289,0.0316029982370022
"Cameroon","combined",2000,NA,0.337921865593171,44,0,8.76236292934219,0.0258322288823268,17.8844995285566,0.0247601734656549
"Cameroon","combined",2001,NA,0.322456429329225,44,0,8.77380586810225,0.0258322288823268,17.880689563677,0.0219001510319177
"Cameroon","combined",2001,NA,0.304442808707137,44,0,8.59536416523981,0.00508887442434347,18.0623009553585,0.0277913370012297
"Cameroon","combined",2002,NA,0.269424194952589,44,0,8.61599577100925,0.00511995590395225,18.1638406414822,0.0289498863512792
"Cameroon","combined",2002,NA,0.293768317625481,44,0,8.80029363553157,0.00965183312143247,18.4862649825366,0.0290514888040563
"Cameroon","combined",2003,NA,0.331856493638694,44,0,8.71601823152774,0.00962075164182368,18.3685008227352,0.0323184412819649
"Cameroon","combined",2003,NA,0.300298023844995,44,0,8.72406074790015,0.0115728555698926,18.4887071955961,0.034000394564217
"Cameroon","combined",2004,NA,0.329264218331026,44,0,8.75971954726335,0.0116025448918994,18.5554548789029,0.0338508557060219
"Cameroon","combined",2004,NA,0.317647058823529,44,0,8.78247418838357,0.014732669601688,18.4668553503979,0.0321779680654835
"Cameroon","combined",2005,NA,0.266851910777454,44,0,8.78266008845105,0.0147029802796812,18.5014862283092,0.0321063196435144
"Cameroon","combined",2005,NA,0.304964983268753,44,0,8.85259215790949,0.0167556627221022,18.8344200652792,0.0340143754299877
"Cameroon","combined",2006,NA,0.316692395083751,44,0,8.84777787274688,0.0167651510297308,18.7672123762577,0.0322375653020595
"Cameroon","combined",2006,NA,0.264598583837647,44,0,8.81435924737828,0.00136142773460058,18.8712549370365,0.0310382905804136
"Cameroon","combined",2007,NA,0.260710050881208,44,0,8.76723055036867,0.00136584458547636,18.6899196287233,0.0309567819221029
"Cameroon","combined",2007,NA,0.321576229692698,44,0,8.72486998472098,0.0200643796201547,18.3277253751306,0.0337138638277627
"Cameroon","combined",2008,NA,0.309566187460742,44,0,8.66132836406748,0.0200504744616503,18.3488763087725,0.0371710819548046
"Cameroon","combined",2008,NA,0.303702859038294,44,0,8.60413320404919,0.0100361420808168,18.2486730627843,0.0399992576277923
"Cameroon","combined",2009,NA,0.298880416598224,44,0,8.68433743631969,0.010050642804398,18.2852600749609,0.0351583436040196
"Cameroon","combined",2009,NA,0.261528488186771,44,0,8.82475421171157,0.00517795800886538,18.8292872131855,0.035454132723903
"Cameroon","combined",2010,NA,0.241137701518794,44,0,8.74656241577046,0.00516483444329439,18.6973421767259,0.0376442768378377
"Ghana","robusta",1980,1512.13100062568,0.234868421052632,80,0,9.18160444104395,0.00010845750547386,21.6517449142634,0.0298472663625954
"Ghana","robusta",1980,379.602994995212,0.243055555555556,80,0,9.40821200656858,0.0165906673996141,21.6679319282625,0.025987706223546
"Ghana","robusta",1981,1283.20519308042,0.199311023622047,80,0,9.3935650015062,0.0167021969698818,21.6051893461648,0.0250822565658466
"Ghana","robusta",1981,311.282995895961,0.199311023622047,80,0,9.31788553287423,0.00943663709832193,21.5545665543495,0.0247051176412518
"Ghana","robusta",1982,1564.84144944923,0.243055555555556,80,0,9.38249403059597,0.0102560431364779,21.6633332577337,0.0251505583530322
"Ghana","robusta",1982,379.602994995212,0.194444444444444,80,0,9.39318783438957,0.0197165161312771,21.312731363718,0.0210768727225866
"Ghana","robusta",1983,1128.6487109268,0.140243902439024,80,0,9.27953122179841,0.01914686423644,21.0705729887568,0.0198924254124263
"Ghana","robusta",1983,266.1341709593,0.151469098277609,80,0,9.41807198708917,0.0522326061458797,20.9266965473013,0.0147310777361791
"Ghana","robusta",1984,980.82026563693,0.135416666666667,80,0,9.4658730216952,0.0524473574122074,21.0524407068658,0.0160249471666691
"Ghana","robusta",1984,204.985617297414,0.21,80,0,9.59150059894971,0.0294956705915635,21.664766996776,0.0275711498520326
"Ghana","robusta",1985,685.14679678588,0.17027027027027,80,0,9.56432419971539,0.0294022012082682,21.6302882356454,0.0284729593352208
"Ghana","robusta",1985,151.467204899567,0.155172413793103,80,0,9.35786788874293,0.0105701647407012,21.4699644314473,0.0322890853764911
"Ghana","robusta",1986,624.39486406595,0.155172413793103,80,0,9.31829416264235,0.0110652716632994,21.3229140877408,0.0305596603719642
"Ghana","robusta",1986,112.92391615824,0.115686274509804,80,0,9.42835883429082,0.0136067061442612,21.3340563864571,0.0242868074522282
"Ghana","robusta",1987,475.698528719929,0.11821892393321,80,0,9.39707873846958,0.0132548214007235,21.2065467784923,0.0230781161876028
"Ghana","robusta",1987,163.154273364485,0.208931715906867,80,0,9.50919403154679,0.013802578605891,21.9088148290135,0.0306060132415981
"Ghana","robusta",1988,644.091907220183,0.20008431703204,80,0,9.5332311331174,0.0143545414103131,22.1420812894172,0.0326855981424149
