"country","variety","coeff","value"
"Philippines","combined","gdd1000",0.1885263224268
"Timor.Leste","combined","gdd1000",0.189531461303454
"Colombia","arabica","gdd1000",0.2788267069591
"Burundi","combined","gdd1000",0.230428756671865
"Burundi","arabica","gdd1000",0.21385602085985
"Fiji","combined","gdd1000",0.216748198269895
"Madagascar","combined","gdd1000",0.137176230478386
"Nepal","combined","gdd1000",0.216748198269895
"Suriname","combined","gdd1000",0.48422573028257
"Zambia","arabica","gdd1000",0.299676271954455
"Papua.New.Guinea","combined","gdd1000",0.144925461980186
"Zimbabwe","arabica","gdd1000",0.026391951338614
"New.Caledonia","combined","gdd1000",0.216748198269895
"New.Caledonia","arabica","gdd1000",0.228776796022858
"Paraguay","arabica","gdd1000",0.405017810115887
"Guyana","robusta","gdd1000",0.374352489889499
"Guyana","arabica","gdd1000",0.259811080565212
"Guyana","combined","gdd1000",0.216598199683671
"Honduras","arabica","gdd1000",0.175071243300708
"Myanmar","combined","gdd1000",0.23229108599028
"Mexico","combined","gdd1000",0.216748198269895
"Congo","robusta","gdd1000",0.38200445995689
"Congo","combined","gdd1000",0.216081334030065
"Sri.Lanka","combined","gdd1000",0.233542123364747
"Comoros","combined","gdd1000",0.216748198269895
"Cambodia","combined","kdd1000",-1.79830949645212
"Ethiopia","arabica","kdd1000",-1.73128038608856
"Cameroon","combined","kdd1000",-1.80093692917968
"Ghana","robusta","kdd1000",-1.78709298312438
"Saudi.Arabia","combined","kdd1000",-1.80070026264493
"Guatemala","arabica","kdd1000",-1.73113451472947
"Guatemala","combined","kdd1000",-1.80069599771591
"Dominica","combined","kdd1000",-1.80070026264493
"Liberia","robusta","kdd1000",-1.73207010762557
"Gabon","robusta","kdd1000",-1.76441837034332
"Gabon","combined","kdd1000",-1.79993259768684
"Yemen","combined","kdd1000",-1.80072119580716
"Yemen","arabica","kdd1000",-1.72755186930179
"Jamaica","arabica","kdd1000",-1.73104740261824
"Samoa","combined","kdd1000",-1.80070026264493
"Kenya","arabica","kdd1000",-1.7310434643278
"Kenya","combined","kdd1000",-1.80421546859887
"India","combined","kdd1000",-1.80070026264493
"Saint.Lucia","combined","kdd1000",-1.80070026264493
"Rwanda","arabica","kdd1000",-1.73114117335249
"Peru","arabica","kdd1000",-1.73114117229739
"Vanuatu","combined","kdd1000",-1.80070026264493
"Malawi","arabica","kdd1000",-1.73111836579421
"Benin","robusta","kdd1000",-1.75411475503235
"Benin","combined","kdd1000",-1.7733102225335
"Cuba","arabica","kdd1000",-1.72495350739875
"Togo","robusta","kdd1000",-1.8272619756804
"Tonga","combined","kdd1000",-1.80070026264493
"Indonesia","combined","kdd1000",-1.80070026264493
"Mauritius","combined","kdd1000",-1.80070026264493
"Angola","combined","kdd1000",-1.79870765051456
"Angola","robusta","kdd1000",-1.76797948441874
"Trinidad.and.Tobago","combined","kdd1000",-1.80070026264493
"Nicaragua","arabica","kdd1000",-1.73260002311494
"Malaysia","robusta","kdd1000",-1.76827820251556
"Mozambique","combined","kdd1000",-1.80084002090166
"Uganda","combined","kdd1000",-1.80112201712251
"Brazil","combined","kdd1000",-1.97105403479014
"Guinea","robusta","kdd1000",-1.70319712529152
"Panama","arabica","kdd1000",-1.7308175511146
"Costa.Rica","arabica","kdd1000",-1.73069953311866
"Nigeria","robusta","kdd1000",-1.67427100800186
"Ecuador","combined","kdd1000",-1.80079281774732
"El.Salvador","arabica","kdd1000",-1.72907715159155
"Puerto.Rico","combined","kdd1000",-1.80078096724747
"Thailand","combined","kdd1000",-1.79585283061156
"Thailand","robusta","kdd1000",-1.77317619048623
"Haiti","arabica","kdd1000",-1.73144949145056
"Belize","combined","kdd1000",-1.79935318347385
"Sierra.Leone","robusta","kdd1000",-1.83496088127985
"Philippines","combined","kdd1000",-1.80073483165651
"Timor.Leste","combined","kdd1000",-1.79880927323119
"Colombia","arabica","kdd1000",-1.73114117229739
"Burundi","combined","kdd1000",-1.80070026264493
"Burundi","arabica","kdd1000",-1.73114117229739
"Fiji","combined","kdd1000",-1.80070026264493
"Madagascar","combined","kdd1000",-1.80070026264493
"Nepal","combined","kdd1000",-1.80070026264493
"Suriname","combined","kdd1000",-1.77884608781167
"Zambia","arabica","kdd1000",-1.73098141685836
"Papua.New.Guinea","combined","kdd1000",-1.80070109646352
"Zimbabwe","arabica","kdd1000",-1.74246246606647
"New.Caledonia","combined","kdd1000",-1.80070026264493
"New.Caledonia","arabica","kdd1000",-1.73114117229739
"Paraguay","arabica","kdd1000",-1.65999055230276
"Guyana","robusta","kdd1000",-1.76590247949263
"Guyana","arabica","kdd1000",-1.73045418728022
"Guyana","combined","kdd1000",-1.80079148538045
"Honduras","arabica","kdd1000",-1.73317895449611
"Myanmar","combined","kdd1000",-1.8004879419289
"Mexico","combined","kdd1000",-1.80070026264493
"Congo","robusta","kdd1000",-1.77331510912796
"Congo","combined","kdd1000",-1.80037676761822
"Sri.Lanka","combined","kdd1000",-1.79279684113318
"Comoros","combined","kdd1000",-1.80070026264493
"Cambodia","combined","avgmin",0.240214119716091
"Ethiopia","arabica","avgmin",-0.268055090075602
"Cameroon","combined","avgmin",-0.0238310168798255
"Ghana","robusta","avgmin",0.0502108947535805
"Saudi.Arabia","combined","avgmin",-0.107996106292967
"Guatemala","arabica","avgmin",-0.163922932347727
"Guatemala","combined","avgmin",0.121464282669415
"Dominica","combined","avgmin",-0.107996106292967
"Liberia","robusta","avgmin",-0.872915148436872
"Gabon","robusta","avgmin",-0.714431545550193
"Gabon","combined","avgmin",0.274554209668173
"Yemen","combined","avgmin",0.369027566599551
"Yemen","arabica","avgmin",0.0552006668713868
"Jamaica","arabica","avgmin",0.268541549109829
"Samoa","combined","avgmin",-0.107996106292967
"Kenya","arabica","avgmin",-1.36900126794041
"Kenya","combined","avgmin",-0.793987832579373
"India","combined","avgmin",-0.107996106292967
"Saint.Lucia","combined","avgmin",-0.107996106292967
"Rwanda","arabica","avgmin",-0.140022566882113
"Peru","arabica","avgmin",0.000600358937070571
"Vanuatu","combined","avgmin",-0.107996106292967
"Malawi","arabica","avgmin",-0.288342265962342
"Benin","robusta","avgmin",-0.157217820267877
"Benin","combined","avgmin",-0.0134265584541018
"Cuba","arabica","avgmin",0.013615464610614
"Togo","robusta","avgmin",-0.00376420528371208
"Tonga","combined","avgmin",-0.107996106292967
"Indonesia","combined","avgmin",-0.205738276035303
"Mauritius","combined","avgmin",-0.107996106292967
"Angola","combined","avgmin",-0.400207998567692
"Angola","robusta","avgmin",0.17817559894662
"Trinidad.and.Tobago","combined","avgmin",0.0414662077277009
"Nicaragua","arabica","avgmin",0.128241829671249
"Malaysia","robusta","avgmin",2.67969130420016
"Mozambique","combined","avgmin",0.0707564654782704
"Uganda","combined","avgmin",-0.0325843508889773
"Brazil","combined","avgmin",-0.0913125058291422
"Guinea","robusta","avgmin",0.300399140218614
"Panama","arabica","avgmin",-0.0644658660474995
"Costa.Rica","arabica","avgmin",-0.181000209644635
"Nigeria","robusta","avgmin",0.159541663411773
"Ecuador","combined","avgmin",-0.163976118352288
"El.Salvador","arabica","avgmin",-0.525903849225885
"Puerto.Rico","combined","avgmin",0.149640066350374
"Thailand","combined","avgmin",0.12174852498031
"Thailand","robusta","avgmin",-0.784569398119261
"Haiti","arabica","avgmin",-0.0773967284848592
"Belize","combined","avgmin",-0.120676666081763
"Sierra.Leone","robusta","avgmin",-1.19659818319126
"Philippines","combined","avgmin",-0.269757706517698
"Timor.Leste","combined","avgmin",0.0430642195974724
"Colombia","arabica","avgmin",0.00052677349785408
"Burundi","combined","avgmin",0.00200030896596584
"Burundi","arabica","avgmin",0.0163961972481277
"Fiji","combined","avgmin",-0.107996106292967
"Madagascar","combined","avgmin",-0.0326127688694591
"Nepal","combined","avgmin",-0.107996106292967
"Suriname","combined","avgmin",-1.55882924368049
"Zambia","arabica","avgmin",-0.236629147673661
"Papua.New.Guinea","combined","avgmin",-0.159836493345545
"Zimbabwe","arabica","avgmin",0.0966207750242699
"New.Caledonia","combined","avgmin",-0.107996106292967
"New.Caledonia","arabica","avgmin",-0.152212377512122
"Paraguay","arabica","avgmin",-0.0840713338625416
"Guyana","robusta","avgmin",-0.370261554565571
"Guyana","arabica","avgmin",-0.573769558140753
"Guyana","combined","avgmin",-0.241675574926438
"Honduras","arabica","avgmin",0.152161002343841
"Myanmar","combined","avgmin",0.114705537020226
"Mexico","combined","avgmin",-0.107996106292967
"Congo","robusta","avgmin",-1.44125409554887
"Congo","combined","avgmin",0.145224160360681
"Sri.Lanka","combined","avgmin",-0.402159444844429
"Comoros","combined","avgmin",-0.107996106292967
"Cambodia","combined","precip",-3.52897828027291
"Ethiopia","arabica","precip",-0.0623251456956545
"Cameroon","combined","precip",-1.40797550920401
"Ghana","robusta","precip",0.802952048995748
"Saudi.Arabia","combined","precip",-2.12437901458077
"Guatemala","arabica","precip",-0.176944776618535
"Guatemala","combined","precip",-1.14754007736001
"Dominica","combined","precip",-2.12437901458077
"Liberia","robusta","precip",0.543440603042584
"Gabon","robusta","precip",-1.19498052142306
"Gabon","combined","precip",-2.07070974778987
"Yemen","combined","precip",-2.20329378327268
