"soiltype","component","corr"
"topsoil",1,-0.0902182191967837
"topsoil",2,0.134383685974397
"topsoil",3,-0.0421266828112647
"topsoil",4,0.0305424631830734
"topsoil",5,0.00377404556370147
"topsoil",6,0.0459535975239836
"botsoil",1,-0.0439274812039604
"botsoil",2,0.146136873947031
"botsoil",3,-0.0837528341093335
"botsoil",4,0.00978111282551445
"botsoil",5,-0.0285762006825842
"botsoil",6,0.0573530034804275
