"bioclim","center","unweighted","arabicaed","robustaed"
1,53,0.00016356897791203,0.000112130594679252,0.00012019858138321
1,53.4696673189824,0.000162883191215095,0.000111470733957795,0.000120331214898606
1,53.9393346379648,0.000162477549884755,0.000111006195247432,0.000120778388907524
1,54.4090019569472,0.000162431585885625,0.00011078462996817,0.000121530401181809
1,54.8786692759296,0.000162783787538865,0.000110826866203736,0.000122556214354769
1,55.3483365949119,0.000163524888315513,0.000111130302311053,0.000123788382167069
1,55.8180039138943,0.000164598256902269,0.000111652491233925,0.000125124022589946
1,56.2876712328767,0.000165907724684398,0.000112300772592981,0.00012642952322021
1,56.7573385518591,0.000167330782249331,0.000112985779491026,0.000127549273762639
1,57.2270058708415,0.000168725525529663,0.000113612345853435,0.000128318262071202
1,57.6966731898239,0.000169978064470239,0.000114089388232026,0.000128577807856223
1,58.1663405088063,0.000171008122177818,0.000114339120992205,0.000128193113870754
1,58.6360078277886,0.000171771650393251,0.000114304683432371,0.000127070774285037
1,59.105675146771,0.000172261731024093,0.00011395546849513,0.000125148802872002
1,59.5753424657534,0.000172505222123421,0.000113289729892051,0.000122453878730187
1,60.0450097847358,0.000172556469444657,0.000112334382311817,0.000119159468034814
1,60.5146771037182,0.000172488880161798,0.000111142268814107,0.000115448510228135
1,60.9843444227006,0.000172384722744687,0.000109782680583259,0.000111546765969722
1,61.454011741683,0.000172323599945235,0.000108372585767657,0.000107702883753956
1,61.9236790606654,0.000172370688360538,0.000107014409748559,0.000104167276231867
1,62.3933463796478,0.000172566715463746,0.000105812114792151,0.000101172318111481
1,62.8630136986301,0.000172922194506782,0.000104869499972817,9.89157959184906e-05
1,63.3326810176125,0.000173418130999832,0.00010428730408147,9.75487173769687e-05
1,63.8023483365949,0.000174014102416155,0.000104159923798395,9.71677003756043e-05
1,64.2720156555773,0.00017466270836383,0.000104571163827517,9.78113864502737e-05
1,64.7416829745597,0.000175322463526588,0.000105588725924784,9.94785651047498e-05
1,65.2113502935421,0.00017598348498876,0.000107257578422082,0.000102124992790554
1,65.6810176125245,0.000176662259348843,0.000109592870280606,0.000105522797264113
1,66.1506849315068,0.000177395050589523,0.000112604076392754,0.000109476769882206
1,66.6203522504892,0.000178225277973571,0.000116209412092262,0.00011375680411568
1,67.0900195694716,0.00017918912523608,0.000120263015906793,0.000118113672571052
1,67.559686888454,0.000180303767863395,0.000124627412896587,0.000122299994652804
1,68.0293542074364,0.000181561320777064,0.000129155148219346,0.000126095107478487
1,68.4990215264188,0.000182929549391374,0.000133706635719682,0.000129331218794636
1,68.9686888454012,0.00018435838518781,0.000138168003696662,0.0001319171782796
1,69.4383561643836,0.000185790034527641,0.000142466156579222,0.000133855685319291
1,69.908023483366,0.000187170261780989,0.000146578547674353,0.000135249929717771
1,70.3776908023483,0.000188459060869887,0.000150535809612101,0.000136296351912224
1,70.8473581213307,0.000189639793443493,0.000154416347038233,0.00013729443449863
1,71.3170254403131,0.000190724893378268,0.000158335213728752,0.000138576748509615
1,71.7866927592955,0.000191773111155133,0.000162450082584864,0.000140411505250189
1,72.2563600782779,0.000192874715352126,0.00016686552005156,0.000142992559046591
1,72.7260273972603,0.000194134468732416,0.000171649504449327,0.000146408238763022
1,73.1956947162427,0.000195654950708994,0.000176816775602895,0.000150625302310916
1,73.665362035225,0.000197512769419059,0.000182323183861325,0.000155489998043573
1,74.1350293542074,0.000199736965975559,0.000188067355660466,0.000160745563234007
1,74.6046966731898,0.000202296116882161,0.000193898645124582,0.000166063076458338
1,75.0743639921722,0.000205098787444014,0.000199629718055215,0.000171080720072659
1,75.5440313111546,0.00020800826177989,0.000205051833197959,0.000175445440451497
1,76.013698630137,0.000210868081665531,0.000209950934184377,0.000178850879202371
1,76.4833659491194,0.000213531384326698,0.000214123013977175,0.000180945047118796
1,76.9530332681018,0.000215885656538219,0.00021730749780321,0.000181697672587161
1,77.4227005870842,0.000217865979213551,0.000219390831820355,0.000181103614494355
1,77.8923679060665,0.000219453825199606,0.000220326000064526,0.00017922634900245
1,78.3620352250489,0.000220663270739718,0.000220096571286733,0.000176190095634881
1,78.8317025440313,0.000221500431849974,0.00021875199212576,0.000172162607620336
1,79.3013698630137,0.000222019376986977,0.000216411737488104,0.000167340051689083
1,79.7710371819961,0.00022224157188651,0.000213265576858815,0.000161935071810436
1,80.2407045009785,0.000222191661212514,0.000209568623172612,0.000156167902136726
1,80.7103718199609,0.000221908516057817,0.000205630224743932,0.00015025946917426
1,81.1800391389432,0.000221452300251858,0.000201796449612447,0.000144424951861188
1,81.6497064579256,0.00022090320751447,0.00019842682654196,0.00013886633576204
1,82.119373776908,0.000220351495593253,0.00019590439222214,0.000133810680582401
1,82.5890410958904,0.000219882157170673,0.000194611630176317,0.00012938591175285
1,83.0587084148728,0.000219559609057991,0.000194687283120772,0.000125663847658972
1,83.5283757338552,0.000219417574195516,0.000196238356693604,0.000122673290916875
1,83.9980430528376,0.000219457202751625,0.00019927779347873,0.000120391918602563
1,84.46771037182,0.000219653434100305,0.000203732528220213,0.000118755435602682
1,84.9373776908024,0.000219966900707438,0.000209459595356434,0.000117673107413253
1,85.4070450097847,0.000220357329902557,0.000216267522345942,0.000117047488064646
1,85.8767123287671,0.000220796095115997,0.000223939717749501,0.000116795125532937
1,86.3463796477495,0.000221271454195531,0.000232256487485429,0.000116864506729836
1,86.8160469667319,0.000221792072868268,0.000241012672287536,0.000117247610460183
1,87.2857142857143,0.000222382562961399,0.000250028660892737,0.000117982218650348
1,87.7553816046967,0.000223073995993626,0.000259149435646917,0.000119177184434553
