"soiltype","component","center","unweighted","arabicaed","robustaed"
"topsoil","sand",1,0,0,0
"topsoil","sand",3,0.000313326655880011,0.00121790044611589,0.00138698017381992
"topsoil","sand",5,0.000114287181857873,9.00688234224802e-05,6.70609656092959e-06
"topsoil","sand",7,0.0011788273364666,4.01608917246098e-05,2.46410433982864e-06
"topsoil","sand",9,0.00142024295657087,0.0115418527914567,0.00799349158072494
"topsoil","sand",11,0.001819606030254,0.0259466860573521,0.0106354866279472
"topsoil","sand",13,0.00737473354392994,0.000355436558034702,0.00084381942175683
"topsoil","sand",15,0.000806430901199372,0.00137715483458002,0.000144164339295729
"topsoil","sand",17,0.0043313557798495,0.00472497212412583,0.00166643666907539
"topsoil","sand",19,0.0391157510850862,0.0123787103295263,0.0269625997003575
"topsoil","sand",21,0.024951845288543,0.033728215507946,0.0079545557615103
"topsoil","sand",23,0.0110255027351876,0.00423977977675087,0.00964918451893716
"topsoil","sand",25,0.0257043429129106,0.0533946400184423,0.034884769365537
"topsoil","sand",27,0.0652438554588181,0.0130944744072262,0.0370266960701734
"topsoil","sand",29,0.00525078973726789,0.00817012519159646,0.00315762334453931
"topsoil","sand",31,0.0202801962143976,0.0172892526976653,0.0097020807870517
"topsoil","sand",33,0.0293872152451396,0.0298026144465179,0.0502356025480132
"topsoil","sand",35,0.111855047897886,0.0412658178403499,0.0653444778797185
"topsoil","sand",37,0.0825885404627989,0.0515256738595413,0.0655748649476859
"topsoil","sand",39,0.024691167783856,0.0297617404096017,0.0378747988625158
"topsoil","sand",41,0.0540899401597452,0.0246910359360532,0.0602285463726814
"topsoil","sand",43,0.0847420191591545,0.0958439984224231,0.0673884104869259
"topsoil","sand",45,0.0287515730539076,0.0387488916312937,0.0220426686092994
"topsoil","sand",47,0.0199206410355189,0.0226859753554089,0.0148172393646618
"topsoil","sand",49,0.0145311657292549,0.00899209419059643,0.00795461202622583
"topsoil","sand",51,0.0562190204689627,0.0649939089509485,0.0521083545332147
"topsoil","sand",53,0.00968359144258679,0.0191249214701695,0.00449107095480628
"topsoil","sand",55,0.0159526928114646,0.0199447049022712,0.011067862131094
"topsoil","sand",57,0.0142371009579577,0.00325098694425774,0.0113024549883061
"topsoil","sand",59,0.00716156868788043,0.0143153085880134,0.0254598304870461
"topsoil","sand",61,0.00179649176875474,0.00279722272615623,0.000295350559141538
"topsoil","sand",63,0.00746462233864953,0.0179964677835172,0.00914211298651746
"topsoil","sand",65,0.00406811002388474,0.00281015785839334,0.00688709686317812
"topsoil","sand",67,0.00380871664483662,0.00257234222760538,0.000841401904420946
"topsoil","sand",69,0.0128130056244703,0.00750646404731381,0.00611524255669693
"topsoil","sand",71,0.00220227547063201,0.00769963184888522,0.00563189618898408
"topsoil","sand",73,0.013704188817834,0.02610332132937,0.0230298872824054
"topsoil","sand",75,0.0257736856974086,0.0185520255381321,0.0243505633822432
"topsoil","sand",77,0.0381873282481958,0.0211818483131808,0.0172539923564555
"topsoil","sand",79,0.0115674037547834,0.0028184491180151,0.000302805954275343
"topsoil","sand",81,0.0038331150319747,0.00718779218272125,0.00122417865171665
"topsoil","sand",83,0.00331304414823952,0.00234546303211869,0.00165036762282667
"topsoil","sand",85,0.00125202249788114,0.00552124055220859,0.00256158146220653
"topsoil","sand",87,0.0613041579988186,0.0822779555651487,0.179174853646799
"topsoil","sand",89,0.0283945861263066,0.0521238830878299,0.0250261316628217
"topsoil","sand",91,0.00372268022703337,0.0128291387071648,0.00365315295499991
"topsoil","sand",93,0.00382926265505823,0.00529608775779822,0.00220539968247868
"topsoil","sand",95,0.0092328633433495,0.0649969600163764,0.0423425344655179
"topsoil","sand",97,5.65015281095427e-05,0.000173779604810909,0.000219506124031765
"topsoil","sand",99,0.000933559339445722,0.00467266529984089,0.000184090938460502
"topsoil","silt",1,0.0129568383670376,0.0955503794533531,0.0525649866630475
"topsoil","silt",3,0.0155988106629334,0.030188858093529,0.00863736003394745
"topsoil","silt",5,0.0209045897365092,0.0412607007782097,0.0411274049671802
"topsoil","silt",7,0.0185605938979045,0.0178871586632276,0.0176445116457563
"topsoil","silt",9,0.0404618635088012,0.0687461805517844,0.101426454441148
"topsoil","silt",11,0.0362747805313485,0.042923936183885,0.0847494502386944
"topsoil","silt",13,0.0111291638035667,0.0103327910831001,0.000890968766538547
"topsoil","silt",15,0.0276064912629963,0.0430718742206407,0.0225427079137031
"topsoil","silt",17,0.0404965418033998,0.0265416805607499,0.0312376834525184
"topsoil","silt",19,0.0331036431475047,0.0213611878223182,0.0249275724736726
"topsoil","silt",21,0.0137082014166726,0.00932805636714795,0.00243506334190624
"topsoil","silt",23,0.0284965674910254,0.0262531851067323,0.0155087871617225
"topsoil","silt",25,0.0400649896928402,0.0465335603951556,0.0413185235420958
"topsoil","silt",27,0.0369439431789721,0.0805561758646146,0.0395995914895363
"topsoil","silt",29,0.0866263799071392,0.121735406824232,0.0652563520730559
"topsoil","silt",31,0.0399416890898232,0.0794216697566217,0.0487183708108955
"topsoil","silt",33,0.0219860387754709,0.0281499784219191,0.0179012199190822
"topsoil","silt",35,0.0174470353269072,0.0257121146771876,0.0136220884849292
"topsoil","silt",37,0.0557665508582877,0.0197440261237243,0.0688684892740411
"topsoil","silt",39,0.0620831380003468,0.0279580350682938,0.0605657683160911
"topsoil","silt",41,0.0568569905662195,0.00882099206732478,0.0215175037087646
