"X","Y","row","col"
153.04167175293,-29.875,2,3997
152.125,-29.9583339691162,1,3986
152.20832824707,-29.9583339691162,1,3987
152.20832824707,-29.875,2,3987
152.29167175293,-29.9583339691162,1,3988
152.45832824707,-29.875,2,3990
153.20832824707,-29.9583339691162,1,3999
153.20832824707,-29.875,2,3999
153.125,-29.875,2,3998
137.70832824707,-29.9583339691162,1,3813
137.79167175293,-29.9583339691162,1,3814
137.875,-29.9583339691162,1,3815
137.95832824707,-29.9583339691162,1,3816
138.04167175293,-29.9583339691162,1,3817
138.125,-29.9583339691162,1,3818
138.20832824707,-29.9583339691162,1,3819
137.70832824707,-29.875,2,3813
137.79167175293,-29.875,2,3814
150.70832824707,-29.875,2,3969
120.458335876465,-29.9583339691162,1,3606
120.625,-29.9583339691162,1,3608
120.541664123535,-29.875,2,3607
120.625,-29.875,2,3608
120.708335876465,-29.9583339691162,1,3609
120.708335876465,-29.875,2,3609
119.541664123535,-29.9583339691162,1,3595
119.708335876465,-29.9583339691162,1,3597
119.791664123535,-29.9583339691162,1,3598
119.875,-29.9583339691162,1,3599
119.541664123535,-29.875,2,3595
119.708335876465,-29.875,2,3597
119.791664123535,-29.875,2,3598
119.875,-29.875,2,3599
150.29167175293,-29.875,2,3964
150.125,-29.875,2,3962
29.125,-29.875,2,2510
29.2083339691162,-29.875,2,2511
158.95832824707,-29.9583339691162,1,4068
159.04167175293,-29.9583339691162,1,4069
159.125,-29.9583339691162,1,4070
158.95832824707,-29.875,2,4068
159.04167175293,-29.875,2,4069
159.125,-29.875,2,4070
153.29167175293,-29.9583339691162,1,4000
153.375,-29.9583339691162,1,4001
153.29167175293,-29.875,2,4000
153.375,-29.875,2,4001
155.79167175293,-29.9583339691162,1,4030
155.875,-29.9583339691162,1,4031
155.95832824707,-29.9583339691162,1,4032
156.04167175293,-29.9583339691162,1,4033
156.125,-29.9583339691162,1,4034
156.20832824707,-29.9583339691162,1,4035
156.29167175293,-29.9583339691162,1,4036
156.375,-29.9583339691162,1,4037
156.45832824707,-29.9583339691162,1,4038
156.54167175293,-29.9583339691162,1,4039
156.625,-29.9583339691162,1,4040
155.79167175293,-29.875,2,4030
155.875,-29.875,2,4031
155.95832824707,-29.875,2,4032
156.04167175293,-29.875,2,4033
156.125,-29.875,2,4034
156.20832824707,-29.875,2,4035
156.29167175293,-29.875,2,4036
156.375,-29.875,2,4037
156.45832824707,-29.875,2,4038
156.54167175293,-29.875,2,4039
156.625,-29.875,2,4040
158.20832824707,-29.9583339691162,1,4059
158.29167175293,-29.9583339691162,1,4060
158.375,-29.9583339691162,1,4061
158.45832824707,-29.9583339691162,1,4062
158.54167175293,-29.9583339691162,1,4063
158.625,-29.9583339691162,1,4064
158.70832824707,-29.9583339691162,1,4065
158.79167175293,-29.9583339691162,1,4066
158.875,-29.9583339691162,1,4067
158.95832824707,-29.9583339691162,1,4068
159.04167175293,-29.9583339691162,1,4069
159.125,-29.9583339691162,1,4070
159.20832824707,-29.9583339691162,1,4071
159.29167175293,-29.9583339691162,1,4072
159.375,-29.9583339691162,1,4073
159.45832824707,-29.9583339691162,1,4074
159.54167175293,-29.9583339691162,1,4075
159.625,-29.9583339691162,1,4076
159.70832824707,-29.9583339691162,1,4077
159.79167175293,-29.9583339691162,1,4078
159.875,-29.9583339691162,1,4079
158.20832824707,-29.875,2,4059
158.29167175293,-29.875,2,4060
168.79167175293,-29.875,2,4186
168.875,-29.875,2,4187
168.95832824707,-29.875,2,4188
169.04167175293,-29.875,2,4189
169.125,-29.875,2,4190
169.20832824707,-29.875,2,4191
169.29167175293,-29.875,2,4192
169.375,-29.875,2,4193
169.45832824707,-29.875,2,4194
169.54167175293,-29.875,2,4195
169.625,-29.875,2,4196
169.70832824707,-29.875,2,4197
169.79167175293,-29.875,2,4198
169.875,-29.875,2,4199
169.95832824707,-29.875,2,4200
-67.7083358764648,-29.7916660308838,3,1348
-68.125,-29.9583339691162,1,1343
-68.0416641235352,-29.9583339691162,1,1344
-59.7083320617676,-29.9583339691162,1,1444
-63.2916679382324,-29.9583339691162,1,1401
-63.2083320617676,-29.9583339691162,1,1402
-63.125,-29.9583339691162,1,1403
-63.2916679382324,-29.9583339691162,1,1401
-50.875,-29.9583339691162,1,1550
-50.7916679382324,-29.9583339691162,1,1551
-50.7083320617676,-29.9583339691162,1,1552
-50.625,-29.9583339691162,1,1553
-50.7916679382324,-29.875,2,1551
-50.7083320617676,-29.875,2,1552
-50.625,-29.875,2,1553
-50.5416679382324,-29.875,2,1554
129.04167175293,-29.9583339691162,1,3709
129.125,-29.9583339691162,1,3710
129.20832824707,-29.9583339691162,1,3711
129.29167175293,-29.9583339691162,1,3712
129.375,-29.9583339691162,1,3713
129.45832824707,-29.9583339691162,1,3714
129.04167175293,-29.875,2,3709
129.125,-29.875,2,3710
129.20832824707,-29.875,2,3711
129.29167175293,-29.875,2,3712
129.375,-29.875,2,3713
129.45832824707,-29.875,2,3714
29.2083339691162,-29.875,2,2511
152.45832824707,-29.9583339691162,1,3990
152.54167175293,-29.9583339691162,1,3991
129.04167175293,-29.9583339691162,1,3709
129.125,-29.9583339691162,1,3710
129.20832824707,-29.9583339691162,1,3711
129.29167175293,-29.9583339691162,1,3712
129.375,-29.9583339691162,1,3713
129.45832824707,-29.9583339691162,1,3714
129.04167175293,-29.875,2,3709
129.125,-29.875,2,3710
129.20832824707,-29.875,2,3711
129.29167175293,-29.875,2,3712
129.375,-29.875,2,3713
129.45832824707,-29.875,2,3714
115.041664123535,-29.9583339691162,1,3541
