"bio","variety","corr"
1,"arabica",0.245019364428632
1,"robusta",0.424619179554646
2,"arabica",0.189869537781916
2,"robusta",-0.324995476308901
3,"arabica",-0.0523736240352373
3,"robusta",0.521696481608245
4,"arabica",0.0811182369475559
4,"robusta",-0.522990812311183
5,"arabica",0.266472244631925
5,"robusta",-0.055733634890581
6,"arabica",0.0207249761806148
6,"robusta",0.55967540000432
7,"arabica",0.130978950875046
7,"robusta",-0.477940014637431
8,"arabica",0.130025722530388
8,"robusta",0.183866843433395
9,"arabica",0.160484103259981
9,"robusta",0.48189795900809
10,"arabica",0.261725438962521
10,"robusta",0.0806570867414096
11,"arabica",0.114957221141307
11,"robusta",0.545494319271394
12,"arabica",-0.18673274783537
12,"robusta",0.349279965465227
13,"arabica",-0.155613523575467
13,"robusta",0.287972468450066
14,"arabica",-0.188416234128043
14,"robusta",0.325822907654654
15,"arabica",0.200107943449583
15,"robusta",-0.20380059592014
16,"arabica",-0.172348817150638
16,"robusta",0.274366047338052
17,"arabica",-0.213484497508381
17,"robusta",0.329786382446158
18,"arabica",-0.252318207726746
18,"robusta",0.128610887201807
19,"arabica",-0.132053551479191
19,"robusta",0.395971047308514
