"soiltype","component","corr"
"topsoil",1,0.0551620913954323
"topsoil",2,-0.0899302361540489
"topsoil",3,0.0654433562075584
"topsoil",4,-0.128779790285476
"topsoil",5,0.123889516403843
"topsoil",6,0.12519614878714
"botsoil",1,0.0583986985475067
"botsoil",2,-0.0987227758237613
"botsoil",3,0.0399880401238699
"botsoil",4,-0.076840285178942
"botsoil",5,0.0590865719755835
"botsoil",6,0.126746768600257
