"soiltype","component","corr"
"topsoil",1,-0.105685925508041
"topsoil",2,0.0860605185195136
"topsoil",3,0.00357555325093806
"topsoil",4,0.162150642326172
"topsoil",5,-0.0558236775454091
"topsoil",6,-0.0821100928215649
"botsoil",1,-0.0258672414160442
"botsoil",2,0.0495981413467072
"botsoil",3,-0.0549293357321218
"botsoil",4,0.111002453964142
"botsoil",5,-0.0728140059488432
"botsoil",6,-0.081025166723051
