"variety","center","unweighted","weighted"
"arabica",-15,0.000491841711560818,3.28529768595389e-05
"arabica",-5,0.000827792561226438,0.000155600380812006
"arabica",5,0.0271733482215149,0.0156601066318831
"arabica",15,0.0204374128400898,0.020423307080479
"arabica",25,0.0159987528731048,0.0190262941131421
"arabica",35,0.01359392484852,0.0148686693008972
"arabica",45,0.0141038934044872,0.0101810828668145
"arabica",55,0.0139032896597229,0.00891802238754408
"arabica",65,0.0139661293869985,0.00693297877783904
"arabica",75,0.0131153761561906,0.00635891077792929
"arabica",85,0.0129147724114262,0.00630438691235867
"arabica",95,0.0130041981771645,0.00583060009495645
"arabica",105,0.0134501185495624,0.00585007256725935
"arabica",115,0.0134344086177435,0.004923854503896
"arabica",125,0.0127625069184123,0.00531442773572485
"arabica",135,0.0125824469306419,0.005323135792967
"arabica",145,0.0126742896089677,0.00546223720084432
"arabica",155,0.0124640182138533,0.00533189773896564
"arabica",165,0.0119866779778176,0.00511695350261757
"arabica",175,0.0120217232103366,0.00506941098264341
"arabica",185,0.0116483102155645,0.00516633260090546
"arabica",195,0.0113353200354803,0.0045903271217187
"arabica",205,0.0113461961421241,0.00475621650079783
"arabica",215,0.0113981597627559,0.00478866151316704
"arabica",225,0.0111782207172913,0.00549407679811748
"arabica",235,0.0112724803082047,0.00536903939071282
"arabica",245,0.0110150791176336,0.00683428679643738
"arabica",255,0.0109679493221769,0.0050001562909433
"arabica",265,0.0122150762173384,0.00586372779641361
"arabica",275,0.0130416603222711,0.004797038334689
"arabica",285,0.0131045000495467,0.00488605594097549
"arabica",295,0.0133570674149428,0.00474300762660113
"arabica",305,0.0125884892121107,0.00529697548351463
"arabica",315,0.0123830516421712,0.00543666370286902
"arabica",325,0.0120942305879623,0.00470999088924845
"arabica",335,0.0123661332540586,0.00568318022676587
"arabica",345,0.0115903043134639,0.0052689413687258
"arabica",355,0.0112543534637983,0.00506242005724078
"arabica",365,0.0110803357574967,0.0051753131725325
"arabica",375,0.0107516356455936,0.00548077206080244
"arabica",385,0.0108978588571387,0.00595759860764894
"arabica",395,0.0117558628257092,0.00493766046427108
"arabica",405,0.0117921165145221,0.00430111758322216
"arabica",415,0.0115262561298946,0.0046703732091859
"arabica",425,0.0110827526700842,0.00486676814664505
"arabica",435,0.0106054124340484,0.00431589301045493
"arabica",445,0.0099600967731801,0.00398751548945392
"arabica",455,0.00961206136057668,0.00530579997998537
"arabica",465,0.00985979490079791,0.0060637246320151
"arabica",475,0.00950088338155064,0.00649329783242741
"arabica",485,0.00876372504235645,0.00569863651624586
"arabica",495,0.00815466307030077,0.00565947750623025
"arabica",505,0.00798064536399912,0.0058132314886078
"arabica",515,0.00786342510350424,0.00721915444148363
"arabica",525,0.00738608486746861,0.0062696717018863
"arabica",535,0.00738004258599978,0.0068722339314875
"arabica",545,0.00692082919437054,0.00764368642733626
"arabica",555,0.00694499832024575,0.00661735891748344
"arabica",565,0.00640240144434689,0.00679850567323576
"arabica",575,0.00618729622405756,0.00707594959239249
"arabica",585,0.00610028737090662,0.00844783244330144
"arabica",595,0.00584530309292308,0.00711383072098348
"arabica",605,0.00569182914361532,0.00667818647366686
"arabica",615,0.0056446993481587,0.00657540942234563
"arabica",625,0.00539092352646875,0.00638334522083939
"arabica",635,0.00540300808940641,0.00697122629972208
"arabica",645,0.00486766195127031,0.00664705493397066
