"bio","corr"
1,0.098915332040013
2,0.179932197592533
3,0.0477806111096768
4,0.0280092304165472
5,0.149688207922846
6,-0.000342785601425685
7,0.0866455305843168
8,0.122090414204433
9,0.069649409931649
10,0.124339168287045
11,0.0175133856549074
12,-0.122128833427812
13,-0.17571336038183
14,-0.0440556659673542
15,-0.127943369441537
16,-0.159690968360621
17,-0.0592702291355452
18,-0.1303381394756
19,-0.0806167215357046
