"X","Y","row","col"
-50.125,-29.9583339691162,1,1559
-51.375,-29.875,2,1544
-51.625,-29.9583339691162,1,1541
-51.2083320617676,-29.9583339691162,1,1546
-51.125,-29.9583339691162,1,1547
-51.0416679382324,-29.9583339691162,1,1548
-50.9583320617676,-29.9583339691162,1,1549
-51.2083320617676,-29.875,2,1546
-51.125,-29.875,2,1547
-71.2916641235352,-29.9583339691162,1,1305
-71.2083358764648,-29.9583339691162,1,1306
-71.2083358764648,-29.875,2,1306
30.875,-29.9583339691162,1,2531
30.9583339691162,-29.9583339691162,1,2532
30.875,-29.875,2,2531
30.9583339691162,-29.875,2,2532
-53.875,-29.7083339691162,4,1514
-53.7916679382324,-29.7083339691162,4,1515
-53.7083320617676,-29.7083339691162,4,1516
-51.4583320617676,-29.7083339691162,4,1543
-52.4583320617676,-29.7083339691162,4,1531
-50.0416679382324,-29.7916660308838,3,1560
-55.7916679382324,-29.7916660308838,3,1491
-51.125,-29.7916660308838,3,1547
-51.125,-29.7083339691162,4,1547
-50.9583320617676,-29.625,5,1549
30.375,-29.625,5,2525
30.875,-29.7916660308838,3,2531
30.9583339691162,-29.7916660308838,3,2532
31.0416660308838,-29.7916660308838,3,2533
30.9583339691162,-29.7083339691162,4,2532
-51.9583320617676,-29.4583339691162,7,1537
149.79167175293,-29.4583339691162,7,3958
149.875,-29.4583339691162,7,3959
-66.7916641235352,-29.375,8,1359
27.4583339691162,-29.2916660308838,9,2490
27.5416660308838,-29.2916660308838,9,2491
-67.4583358764648,-29.125,11,1351
-56.5416679382324,-29.125,11,1482
-51.2083320617676,-29.2083339691162,10,1546
-51.125,-29.125,11,1547
-51.5416679382324,-29.125,11,1542
26.2083339691162,-29.2083339691162,10,2475
26.2083339691162,-29.125,11,2475
26.2916660308838,-29.125,11,2476
26.875,-29.2083339691162,10,2483
26.7083339691162,-29.2083339691162,10,2481
31.875,-28.875,14,2543
27.875,-28.875,14,2495
24.7916660308838,-28.7916660308838,15,2458
24.7916660308838,-28.7083339691162,16,2458
31.875,-28.7916660308838,15,2543
31.875,-28.7083339691162,16,2543
32.0416679382324,-28.7083339691162,16,2545
114.625,-28.7916660308838,15,3536
-65.7916641235352,-28.4583339691162,19,1371
-65.7083358764648,-28.4583339691162,19,1372
-65.125,-28.625,17,1379
-48.7916679382324,-28.4583339691162,19,1575
-53.625,-28.625,17,1517
-71.2083358764648,-28.4583339691162,19,1306
-70.7916641235352,-28.5416660308838,18,1311
28.7916660308838,-28.5416660308838,18,2506
28.875,-28.5416660308838,18,2507
29.7916660308838,-28.5416660308838,18,2518
29.875,-28.625,17,2519
-52.375,-28.2916660308838,21,1532
-52.7916679382324,-28.2916660308838,21,1527
29.125,-28.2916660308838,21,2510
21.2083339691162,-28.4583339691162,19,2415
21.2916660308838,-28.4583339691162,19,2416
-52.375,-28.2083339691162,22,1532
26.875,-28.125,23,2483
28.2916660308838,-28.2083339691162,22,2500
153.54167175293,-28.2083339691162,22,4003
153.45832824707,-28.125,23,4002
152.04167175293,-28.2083339691162,22,3985
-54.4583320617676,-27.875,26,1507
26.7916660308838,-28.0416660308838,24,2482
26.7083339691162,-27.9583339691162,25,2481
26.7916660308838,-27.9583339691162,25,2482
153.375,-28.0416660308838,24,4001
153.375,-27.9583339691162,25,4001
-64.2916641235352,-27.7916660308838,27,1389
-64.2083358764648,-27.7916660308838,27,1390
-64.2083358764648,-27.7083339691162,28,1390
-50.2916679382324,-27.7916660308838,27,1557
29.9583339691162,-27.7916660308838,27,2520
30.0416660308838,-27.7916660308838,27,2521
30.125,-27.7916660308838,27,2522
29.9583339691162,-27.7083339691162,28,2520
30.0416660308838,-27.7083339691162,28,2521
30.7916660308838,-27.7916660308838,27,2530
26.7083339691162,-27.875,26,2481
153.375,-27.875,26,4001
-48.625,-27.5416660308838,30,1577
-52.2083320617676,-27.625,29,1534
27.2083339691162,-27.625,29,2487
153.20832824707,-27.7083339691162,28,3999
152.79167175293,-27.625,29,3994
152.95832824707,-27.625,29,3996
153.04167175293,-27.625,29,3997
153.125,-27.625,29,3998
152.95832824707,-27.5416660308838,30,3996
153.04167175293,-27.5416660308838,30,3997
153.20832824707,-27.5416660308838,30,3999
151.875,-27.5416660308838,30,3983
151.95832824707,-27.5416660308838,30,3984
-55.9583320617676,-27.375,32,1489
-55.875,-27.375,32,1490
-51.2083320617676,-27.375,32,1546
-59.0416679382324,-27.4583339691162,31,1452
-58.9583320617676,-27.4583339691162,31,1453
-58.7916679382324,-27.4583339691162,31,1455
-70.2916641235352,-27.375,32,1317
152.95832824707,-27.4583339691162,31,3996
153.04167175293,-27.4583339691162,31,3997
153.125,-27.4583339691162,31,3998
152.95832824707,-27.375,32,3996
153.04167175293,-27.375,32,3997
153.125,-27.375,32,3998
-48.625,-27.125,35,1577
-61.2083320617676,-27.2083339691162,34,1426
-49.625,-27.2083339691162,34,1565
120.541664123535,-27.2083339691162,34,3607
152.95832824707,-27.2916660308838,33,3996
153.04167175293,-27.2083339691162,34,3997
-48.625,-26.9583339691162,37,1577
-52.625,-27.0416660308838,36,1529
24.7083339691162,-26.9583339691162,37,2457
29.2083339691162,-26.9583339691162,37,2511
26.625,-26.9583339691162,37,2480
26.7083339691162,-26.9583339691162,37,2481
26.7916660308838,-26.9583339691162,37,2482
-65.2083358764648,-26.875,38,1378
-65.2916641235352,-26.7916660308838,39,1377
-65.2083358764648,-26.7916660308838,39,1378
-65.125,-26.7916660308838,39,1379
-60.4583320617676,-26.7916660308838,39,1435
-52.375,-26.875,38,1532
-49.125,-26.875,38,1571
-49.0416679382324,-26.875,38,1572
-48.7083320617676,-26.875,38,1576
27.875,-26.7916660308838,39,2495
26.625,-26.875,38,2480
26.7083339691162,-26.875,38,2481
26.7916660308838,-26.875,38,2482
153.125,-26.7916660308838,39,3998
29.0416660308838,-26.5416660308838,42,2509
29.125,-26.5416660308838,42,2510
29.2083339691162,-26.5416660308838,42,2511
27.0416660308838,-26.7083339691162,40,2485
27.125,-26.7083339691162,40,2486
27.7916660308838,-26.7083339691162,40,2494
27.875,-26.7083339691162,40,2495
27.9583339691162,-26.7083339691162,40,2496
27.7916660308838,-26.625,41,2494
27.875,-26.625,41,2495
27.9583339691162,-26.625,41,2496
27.875,-26.5416660308838,42,2495
153.125,-26.7083339691162,40,3998
27.375,-26.4583339691162,43,2489
27.375,-26.375,44,2489
27.4583339691162,-26.375,44,2490
27.5416660308838,-26.375,44,2491
27.625,-26.375,44,2492
27.7083339691162,-26.375,44,2493
27.7916660308838,-26.375,44,2494
27.875,-26.375,44,2495
28.125,-26.375,44,2498
28.375,-26.375,44,2501
28.4583339691162,-26.375,44,2502
-58.2083320617676,-26.2083339691162,46,1462
-49.375,-26.2083339691162,46,1568
-48.875,-26.2916660308838,45,1574
-48.7916679382324,-26.2916660308838,45,1575
31.125,-26.2916660308838,45,2534
