"variety","center","weighted"
"arabica",-30,0.00282924003461891
"arabica",-29.8825831702544,0.00297529001245673
"arabica",-29.7651663405088,0.00312503956218924
"arabica",-29.6477495107632,0.0032806359463847
"arabica",-29.5303326810176,0.00344213334793596
"arabica",-29.412915851272,0.00360739382454162
"arabica",-29.2954990215264,0.00377912330339278
"arabica",-29.1780821917808,0.00395624521861274
"arabica",-29.0606653620352,0.00413713690785534
"arabica",-28.9432485322896,0.00432500671004656
"arabica",-28.825831702544,0.00451766037722949
"arabica",-28.7084148727984,0.00471402668853659
"arabica",-28.5909980430528,0.00491772061099284
"arabica",-28.4735812133072,0.00512551249541057
"arabica",-28.3561643835616,0.00533689009654459
"arabica",-28.238747553816,0.00555573739850731
"arabica",-28.1213307240705,0.00577794843165919
"arabica",-28.0039138943249,0.00600400372902728
"arabica",-27.8864970645793,0.00623649700412563
"arabica",-27.7690802348337,0.00647206568102467
"arabica",-27.6516634050881,0.0067115576772965
"arabica",-27.5342465753425,0.00695636333431877
"arabica",-27.4168297455969,0.00720387819590951
"arabica",-27.2994129158513,0.00745517649409862
"arabica",-27.1819960861057,0.00771061223601706
"arabica",-27.0645792563601,0.00796831499492999
"arabica",-26.9471624266145,0.00822940755801378
"arabica",-26.8297455968689,0.00849345467678517
"arabica",-26.7123287671233,0.00875925488242587
"arabica",-26.5949119373777,0.00902776989999819
"arabica",-26.4774951076321,0.00929809752253342
"arabica",-26.3600782778865,0.00956959921772566
"arabica",-26.2426614481409,0.00984284141905908
"arabica",-26.1252446183953,0.0101168427415257
"arabica",-26.0078277886497,0.0103913830556286
"arabica",-25.8904109589041,0.0106663841220623
"arabica",-25.7729941291585,0.0109412241270963
"arabica",-25.6555772994129,0.0112159232034054
"arabica",-25.5381604696673,0.0114895052081136
"arabica",-25.4207436399217,0.0117621788011006
"arabica",-25.3033268101761,0.0120338142092635
"arabica",-25.1859099804305,0.0123028499801071
"arabica",-25.0684931506849,0.0125702489373241
"arabica",-24.9510763209393,0.0128354712066709
"arabica",-24.8336594911937,0.0130968208125476
"arabica",-24.7162426614481,0.0133558074377759
"arabica",-24.5988258317025,0.0136112596904675
"arabica",-24.4814090019569,0.0138618148454886
"arabica",-24.3639921722114,0.0141092998140657
"arabica",-24.2465753424658,0.0143517085245701
"arabica",-24.1291585127202,0.0145884718139056
"arabica",-24.0117416829746,0.0148214933724375
"arabica",-23.894324853229,0.0150477595294548
"arabica",-23.7769080234834,0.0152679225515351
"arabica",-23.6594911937378,0.0154837240609975
"arabica",-23.5420743639922,0.0156910109269891
"arabica",-23.4246575342466,0.0158920282995397
"arabica",-23.307240704501,0.0160881310757224
"arabica",-23.1898238747554,0.0162739447748717
"arabica",-23.0724070450098,0.016453601048554
"arabica",-22.9549902152642,0.0166278695749525
"arabica",-22.8375733855186,0.0167901289881983
"arabica",-22.720156555773,0.0169465957624957
"arabica",-22.6027397260274,0.0170964423779949
"arabica",-22.4853228962818,0.0172343855238712
"arabica",-22.3679060665362,0.0173662664560034
"arabica",-22.2504892367906,0.0174903294392649
"arabica",-22.133072407045,0.0176029177531672
"arabica",-22.0156555772994,0.0177092796737382
"arabica",-21.8982387475538,0.0178067194751417
"arabica",-21.7808219178082,0.0178933918959177
"arabica",-21.6634050880626,0.0179737808679774
"arabica",-21.545988258317,0.0180442929302487
"arabica",-21.4285714285714,0.0181049695364092
"arabica",-21.3111545988258,0.0181594113841863
"arabica",-21.1937377690802,0.0182032203164095
"arabica",-21.0763209393346,0.018238290565181
"arabica",-20.958904109589,0.0182672761168051
"arabica",-20.8414872798434,0.018285111858189
"arabica",-20.7240704500978,0.0182954082580319
"arabica",-20.6066536203523,0.0182998642527071
"arabica",-20.4892367906067,0.018292921762748
"arabica",-20.3718199608611,0.0182796804750119
"arabica",-20.2544031311155,0.0182609277392209
"arabica",-20.1369863013699,0.0182308125578529
"arabica",-20.0195694716243,0.0181956230041421
"arabica",-19.9021526418787,0.0181546341677539
"arabica",-19.7847358121331,0.0181039867512649
"arabica",-19.6673189823875,0.0180487327671682
"arabica",-19.5499021526419,0.0179876037795278
"arabica",-19.4324853228963,0.017918494452336
"arabica",-19.3150684931507,0.0178452898499202
"arabica",-19.1976516634051,0.0177663501861489
"arabica",-19.0802348336595,0.0176810264843379
"arabica",-18.9628180039139,0.0175921480484566
"arabica",-18.8454011741683,0.0174978831200342
"arabica",-18.7279843444227,0.0173987028577334
"arabica",-18.6105675146771,0.0172965237977831
"arabica",-18.4931506849315,0.0171894991237847
"arabica",-18.3757338551859,0.0170788662589957
"arabica",-18.2583170254403,0.0169657929713994
"arabica",-18.1409001956947,0.0168485835556251
"arabica",-18.0234833659491,0.0167288894605768
"arabica",-17.9060665362035,0.016607304140945
"arabica",-17.7886497064579,0.0164824320170353
"arabica",-17.6712328767123,0.0163560043322049
"arabica",-17.5538160469667,0.0162282155315688
"arabica",-17.4363992172211,0.0160980977961792
"arabica",-17.3189823874755,0.015967158517501
"arabica",-17.2015655577299,0.0158352803322075
"arabica",-17.0841487279843,0.0157022700918078
"arabica",-16.9667318982387,0.0155689039410634
"arabica",-16.8493150684932,0.0154351252164204
"arabica",-16.7318982387476,0.0153011857566215
"arabica",-16.614481409002,0.015167319252553
"arabica",-16.4970645792564,0.0150336481169164
"arabica",-16.3796477495108,0.0149005752050134
"arabica",-16.2622309197652,0.0147679662251793
"arabica",-16.1448140900196,0.0146362217797179
"arabica",-16.027397260274,0.0145056410962274
"arabica",-15.9099804305284,0.0143758781333258
"arabica",-15.7925636007828,0.014247693308094
"arabica",-15.6751467710372,0.0141210665506211
"arabica",-15.5577299412916,0.0139955763545407
"arabica",-15.440313111546,0.0138724100872957
"arabica",-15.3228962818004,0.0137510480887411
"arabica",-15.2054794520548,0.0136311099739922
"arabica",-15.0880626223092,0.0135142663914128
"arabica",-14.9706457925636,0.0133993472835297
"arabica",-14.853228962818,0.0132861120910059
"arabica",-14.7358121330724,0.0131767640684692
"arabica",-14.6183953033268,0.0130693543425765
"arabica",-14.5009784735812,0.0129641598128485
"arabica",-14.3835616438356,0.0128630802448584
"arabica",-14.26614481409,0.0127641565191355
"arabica",-14.1487279843444,0.0126680256680558
"arabica",-14.0313111545988,0.0125761349941616
"arabica",-13.9138943248532,0.0124866043883465
"arabica",-13.7964774951076,0.0124004892487866
"arabica",-13.679060665362,0.012318652359427
"arabica",-13.5616438356164,0.012239369592442
"arabica",-13.4442270058708,0.012164169364974
"arabica",-13.3268101761252,0.0120932089583246
"arabica",-13.2093933463796,0.0120249886054646
"arabica",-13.0919765166341,0.0119615614556619
"arabica",-12.9745596868885,0.0119022655725601
"arabica",-12.8571428571429,0.0118458883244077
"arabica",-12.7397260273973,0.011795055586649
"arabica",-12.6223091976517,0.0117481785459517
"arabica",-12.5048923679061,0.0117043907755117
"arabica",-12.3874755381605,0.0116669329494365
"arabica",-12.2700587084149,0.0116331893986168
"arabica",-12.1526418786693,0.0116026958386458
"arabica",-12.0352250489237,0.0115793404166596
"arabica",-11.9178082191781,0.0115593927118876
"arabica",-11.8003913894325,0.0115433395410745
"arabica",-11.6829745596869,0.011534244345446
"arabica",-11.5655577299413,0.011528683954376
"arabica",-11.4481409001957,0.0115276802728025
"arabica",-11.3307240704501,0.0115333663601742
"arabica",-11.2133072407045,0.0115426904137225
"arabica",-11.0958904109589,0.0115572320091795
"arabica",-10.9784735812133,0.0115781052057414
"arabica",-10.8610567514677,0.0116026896898598
"arabica",-10.7436399217221,0.0116331272389994
"arabica",-10.6262230919765,0.0116694498691949
"arabica",-10.5088062622309,0.0117095212254745
"arabica",-10.3913894324853,0.0117560273681912
"arabica",-10.2739726027397,0.0118078899632801
"arabica",-10.1565557729941,0.0118634970440843
"arabica",-10.0391389432485,0.011926034811829
"arabica",-9.92172211350294,0.0119933298082931
"arabica",-9.80430528375734,0.0120643181988768
"arabica",-9.68688845401174,0.0121426133057533
"arabica",-9.56947162426615,0.0122250127144456
"arabica",-9.45205479452055,0.0123110033872268
"arabica",-9.33463796477495,0.0124045227653403
"arabica",-9.21722113502936,0.0125014616500655
"arabica",-9.09980430528376,0.0126023085423469
"arabica",-8.98238747553816,0.0127097744394466
"arabica",-8.86497064579256,0.012820441794407
"arabica",-8.74755381604697,0.0129352021570706
"arabica",-8.63013698630137,0.0130556111786399
"arabica",-8.51272015655577,0.0131789494492013
"arabica",-8.39530332681018,0.013306408168853
"arabica",-8.27788649706458,0.0134385164028468
"arabica",-8.16046966731898,0.0135732304696233
"arabica",-8.04305283757339,0.0137119140354423
"arabica",-7.92563600782779,0.013854253875619
"arabica",-7.80821917808219,0.0139988298386377
"arabica",-7.6908023483366,0.0141470320757769
"arabica",-7.573385518591,0.0142979387461739
"arabica",-7.4559686888454,0.0144506723282886
"arabica",-7.33855185909981,0.0146064914284814
"arabica",-7.22113502935421,0.0147641385938615
"arabica",-7.10371819960861,0.0149231724578067
"arabica",-6.98630136986301,0.0150845581599141
"arabica",-6.86888454011742,0.015247001498339
"arabica",-6.75146771037182,0.0154103702685415
"arabica",-6.63405088062622,0.0155751794100713
"arabica",-6.51663405088063,0.0157404065612422
"arabica",-6.39921722113503,0.0159061114377172
"arabica",-6.28180039138944,0.0160721460038074
"arabica",-6.16438356164384,0.0162381309178235
"arabica",-6.04696673189824,0.0164040060298413
"arabica",-5.92954990215264,0.0165692667677209
"arabica",-5.81213307240705,0.0167340261875986
"arabica",-5.69471624266145,0.016897972009669
"arabica",-5.57729941291585,0.0170605469575326
"arabica",-5.45988258317026,0.017222196594496
"arabica",-5.34246575342466,0.0173822441025015
"arabica",-5.22504892367906,0.0175403627757526
"arabica",-5.10763209393346,0.0176971706917905
"arabica",-4.99021526418787,0.0178515411568001
"arabica",-4.87279843444227,0.0180036239796767
"arabica",-4.75538160469667,0.0181540587824042
"arabica",-4.63796477495108,0.0183012162910951
"arabica",-4.52054794520548,0.0184459170523561
"arabica",-4.40313111545989,0.0185886887297377
"arabica",-4.28571428571429,0.0187273828754864
"arabica",-4.16829745596869,0.0188636223117385
"arabica",-4.05088062622309,0.018997713877181
"arabica",-3.9334637964775,0.0191270105750622
"arabica",-3.8160469667319,0.019253999614373
"arabica",-3.6986301369863,0.0193783513296034
"arabica",-3.58121330724071,0.0194979871863362
"arabica",-3.46379647749511,0.0196152388926474
"arabica",-3.34637964774951,0.0197294196438798
"arabica",-3.22896281800391,0.019839143735556
"arabica",-3.11154598825832,0.0199464735505577
"arabica",-2.99412915851272,0.0200503860920738
"arabica",-2.87671232876712,0.0201502421709909
"arabica",-2.75929549902153,0.0202477566211144
"arabica",-2.64187866927593,0.0203416204100921
"arabica",-2.52446183953034,0.0204319268542129
"arabica",-2.40704500978474,0.0205200014423325
"arabica",-2.28962818003914,0.0206043229262391
"arabica",-2.17221135029354,0.0206856428236327
