"variety","center","unweighted","weighted"
"arabica",0,0.019287550929007,6.38006350967595e-06
"arabica",0.5,0.019287550929007,6.38006350967595e-06
"arabica",1.5,0.019287550929007,6.38006350967595e-06
"arabica",2.5,0.019287550929007,6.38006350967595e-06
"arabica",3.5,0.019287550929007,6.38006350967595e-06
"arabica",4.5,0.019287550929007,6.38006350967595e-06
"arabica",5.5,0.019287550929007,6.38006350967595e-06
"arabica",6.5,0.019287550929007,6.38006350967595e-06
"arabica",7.5,0.019287550929007,6.38006350967595e-06
"arabica",8.5,0.019287550929007,6.38006350967595e-06
"arabica",9.5,0.019287550929007,6.38006350967595e-06
"arabica",10.5,0.019287550929007,6.38006350967595e-06
"arabica",11.5,0.019287550929007,6.38006350967595e-06
"arabica",12.5,0.019287550929007,6.38006350967595e-06
"arabica",13.5,0.019287550929007,6.38006350967595e-06
"arabica",14.5,0.019287550929007,6.38006350967595e-06
"arabica",15.5,0.019287550929007,6.38006350967595e-06
"arabica",16.5,0.019287550929007,6.38006350967595e-06
"arabica",17.5,0.019287550929007,6.38006350967595e-06
"arabica",18.5,0.019287550929007,6.38006350967595e-06
"arabica",19.5,0.019287550929007,6.38006350967595e-06
"arabica",20.5,0.019287550929007,6.38006350967595e-06
"arabica",21.5,0.019287550929007,6.38006350967595e-06
"arabica",22.5,0.019287550929007,6.38006350967595e-06
"arabica",23.5,0.019287550929007,6.38006350967595e-06
"arabica",24.5,0.019287550929007,6.38006350967595e-06
"arabica",25.5,0.019287550929007,6.38006350967595e-06
"arabica",26.5,0.019287550929007,6.38006350967595e-06
"arabica",27.5,0.019287550929007,6.38006350967595e-06
"arabica",28.5,0.019287550929007,6.38006350967595e-06
"arabica",29.5,0.019287550929007,6.38006350967595e-06
"arabica",30.5,0.019287550929007,6.38006350967595e-06
"arabica",31.5,0.019287550929007,6.38006350967595e-06
"arabica",32.5,0.019287550929007,6.38006350967595e-06
"arabica",33.5,0.019287550929007,6.38006350967595e-06
"arabica",34.5,0.019287550929007,6.38006350967595e-06
"arabica",35.5,0.019287550929007,6.38006350967595e-06
"arabica",36.5,0.019287550929007,6.38006350967595e-06
"arabica",37.5,0.019287550929007,6.38006350967595e-06
"arabica",38.5,0.019287550929007,6.38006350967595e-06
"arabica",39.5,0.019287550929007,6.38006350967595e-06
"arabica",40.5,0.019287550929007,6.38006350967595e-06
"arabica",41.5,0.019287550929007,6.38006350967595e-06
"arabica",42.5,0.019287550929007,6.38006350967595e-06
"arabica",43.5,5.8638314177073e-05,6.38006350967595e-06
"arabica",44.5,0.019287550929007,6.38006350967595e-06
"arabica",45.5,5.17174254439645e-05,6.38006350967595e-06
"arabica",46.5,4.96905814270088e-05,6.38006350967595e-06
"arabica",47.5,0.019287550929007,6.38006350967595e-06
"arabica",48.5,5.97692134995942e-05,6.38006350967595e-06
"arabica",49.5,3.54348739850519e-06,0.000108309731721738
"arabica",50.5,6.80395184188276e-05,0.000375521100645401
"arabica",51.5,0.000114070511932685,0.000746814377271364
"arabica",52.5,9.91071988605263e-05,0.0021329204853763
"arabica",53.5,0.000136534540023381,2.1500429313591e-05
"arabica",54.5,0.00016941852008312,0.000953596708843458
"arabica",55.5,0.000125651798984716,0.00173232518555758
"arabica",56.5,0.000184230669015961,0.00145042214969796
"arabica",57.5,0.000203212801207608,0.00182790655554928
"arabica",58.5,0.000147857363529735,0.000673451366755019
"arabica",59.5,0.000194729032125363,0.000778092681944496
"arabica",60.5,0.000300421090352443,0.00152849935414584
"arabica",61.5,0.000314938744183979,0.00111811053346913
"arabica",62.5,0.000324038810579075,0.000193236272933852
"arabica",63.5,0.000217215391840386,0.000762116082850002
"arabica",64.5,0.000281750090428745,0.000805584871387938
"arabica",65.5,0.000201710231873986,0.00365154911386452
"arabica",66.5,0.000242762796592744,0.00256496487810693
"arabica",67.5,0.000476329605007986,0.00168492860574053
"arabica",68.5,0.00034514264722374,0.00149215354803505
"arabica",69.5,0.000336663926511105,0.000380288559358745
"arabica",70.5,0.000358462396775616,2.439283912995e-05
"arabica",71.5,0.000370142418888553,1.66219880812209e-05
"arabica",72.5,0.000304117946784754,3.27819193421328e-05
"arabica",73.5,0.000429724583026481,1.27601270193519e-05
"arabica",74.5,0.000499586163100973,4.85573642826469e-05
"arabica",75.5,0.00138592856010933,0.00701174580349247
"arabica",76.5,0.00137019023701335,0.0073105114067486
