"soiltype","component","center","unweighted","arabicaed","robustaed"
"topsoil","sand",0,8.43124527629172e-05,0.000314521258958383,0.000238842119678012
"topsoil","sand",0.195694716242661,9.12512977518475e-05,0.000342884188973302,0.000257282386448843
"topsoil","sand",0.391389432485323,9.85943543219455e-05,0.000373139830313456,0.000276716591538099
"topsoil","sand",0.587084148727984,0.000106354060651433,0.000405353804407861,0.000297168978658223
"topsoil","sand",0.782778864970646,0.000114569629420201,0.000439718408694372,0.000318727681658286
"topsoil","sand",0.978473581213307,0.000123427039025107,0.000477121596023667,0.000341821344970544
"topsoil","sand",1.17416829745597,0.000132762227350362,0.000516786699605287,0.000366038493222482
"topsoil","sand",1.36986301369863,0.000142588446268385,0.000558772018440812,0.000391397150055846
"topsoil","sand",1.56555772994129,0.000152918977001639,0.000603135433599417,0.000417915045251456
"topsoil","sand",1.76125244618395,0.000164028817327169,0.00065114260436436,0.000446177938782962
"topsoil","sand",1.95694716242661,0.000175694797803682,0.000701714770550774,0.000475647488904343
"topsoil","sand",2.15264187866928,0.000187931154467178,0.000754890024600006,0.000506329819819418
"topsoil","sand",2.34833659491194,0.000200752170770404,0.000810705385991696,0.000538230487592662
"topsoil","sand",2.5440313111546,0.000214435389637551,0.00087031932599634,0.000571853697627678
"topsoil","sand",2.73972602739726,0.000228795615260797,0.000932816617692009,0.000606759429992236
"topsoil","sand",2.93542074363992,0.000243812796059511,0.00099804201028217,0.000642864282912799
"topsoil","sand",3.13111545988258,0.00025950290588474,0.00106599678239711,0.000680155829485623
"topsoil","sand",3.32681017612524,0.00027614080972687,0.00113762216287759,0.000719013110762389
"topsoil","sand",3.52250489236791,0.000293598618292896,0.00121222621227114,0.000759111614713601
"topsoil","sand",3.71819960861057,0.000311812793693331,0.0012894438779495,0.000800281489631655
"topsoil","sand",3.91389432485323,0.000330802416405215,0.00136922710528167,0.000842488181407788
"topsoil","sand",4.10958904109589,0.00035083579023806,0.00145220993410805,0.000885957074966814
"topsoil","sand",4.30528375733855,0.000371866033655963,0.00153792746220421,0.000930469144746077
"topsoil","sand",4.50097847358121,0.000393774966109839,0.00162583996597395,0.000975795780447885
"topsoil","sand",4.69667318982387,0.000416587093115401,0.00171584192446901,0.0010218798820471
"topsoil","sand",4.89236790606654,0.000440560871566462,0.00180821799665275,0.0010687911021114
"topsoil","sand",5.0880626223092,0.000465762416726023,0.00190265435840845,0.00111637318591162
"topsoil","sand",5.28375733855186,0.000492003084352346,0.00199853872180131,0.00116439400702526
"topsoil","sand",5.47945205479452,0.000519316050266643,0.0020957097316915,0.00121277898832184
"topsoil","sand",5.67514677103718,0.000547944933734072,0.00219412985485149,0.00126147247344674
"topsoil","sand",5.87084148727984,0.000578115344030687,0.00229347558724392,0.00131031124063297
"topsoil","sand",6.0665362035225,0.00060954331798647,0.00239323160841492,0.00135913646627957
"topsoil","sand",6.26223091976517,0.000642274622523766,0.00249319522434563,0.00140786738053828
"topsoil","sand",6.45792563600783,0.000676527220448545,0.00259310943211551,0.00145638262683691
"topsoil","sand",6.65362035225049,0.00071275519370071,0.002692419636324,0.00150443549427804
"topsoil","sand",6.84931506849315,0.000750539544581057,0.00279092269137973,0.00155202173152387
"topsoil","sand",7.04500978473581,0.000789942551033024,0.00288840240496756,0.00159907094975037
"topsoil","sand",7.24070450097847,0.000831134204622444,0.00298454431553046,0.00164547027336399
"topsoil","sand",7.43639921722114,0.00087489634055598,0.00307833778014444,0.00169083973365817
"topsoil","sand",7.6320939334638,0.000920614081159511,0.00317010660300865,0.0017353883012594
"topsoil","sand",7.82778864970646,0.000968368910997455,0.00325965916569483,0.00177907501119924
"topsoil","sand",8.02348336594912,0.0010182430188213,0.00334680529147769,0.00182186020488484
"topsoil","sand",8.21917808219178,0.00107147953262407,0.00342993245555889,0.00186324712190936
"topsoil","sand",8.41487279843444,0.0011271812158215,0.00351004111107078,0.00190366254293968
"topsoil","sand",8.6105675146771,0.00118544847136485,0.00358700574458288,0.00194311206556273
"topsoil","sand",8.80626223091977,0.00124638228439256,0.0036607041151188,0.00198160324577297
"topsoil","sand",9.00195694716243,0.00131134579146397,0.0037295501957279,0.00201879975780461
"topsoil","sand",9.19765166340509,0.00137955183463731,0.00379463051225014,0.00205510846887431
"topsoil","sand",9.39334637964775,0.00145094654906482,0.0038561235254596,0.00209064576046954
"topsoil","sand",9.58904109589041,0.00152564409559789,0.00391400996051195,0.00212547614668205
"topsoil","sand",9.78473581213307,0.0016050716452275,0.00396703972815371,0.00215952844214171
"topsoil","sand",9.98043052837573,0.00168865318904065,0.00401616177531094,0.00219314347056682
"topsoil","sand",10.1761252446184,0.00177609321901892,0.00406189674225731,0.00222650746994398
"topsoil","sand",10.3718199608611,0.00186750680245206,0.00410434736865614,0.00225974050598617
"topsoil","sand",10.5675146771037,0.00196429059162424,0.00414280808772,0.00229306729497027
"topsoil","sand",10.7632093933464,0.00206619723700587,0.00417801576997113,0.00232680167416896
"topsoil","sand",10.958904109589,0.00217259329179097,0.00421073249716042,0.00236109213904656
"topsoil","sand",11.1545988258317,0.00228357573915509,0.00424117924612202,0.0023961002171625
"topsoil","sand",11.3502935420744,0.00240038729274946,0.00426925050458431,0.00243229256981724
"topsoil","sand",11.545988258317,0.00252321367004607,0.00429557953299455,0.00247007474748178
"topsoil","sand",11.7416829745597,0.00265100307093149,0.00432092925148691,0.00250940060917221
"topsoil","sand",11.9373776908023,0.00278381100300973,0.00434561043024292,0.00255044826714946
"topsoil","sand",12.133072407045,0.00292259825536588,0.00437000805894441,0.00259380147255888
